name,mz,rt,MS2.spectrum.name,Candidate.number,Level,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database,super_class,class,sub_class
M110T229_POS,110.059847640656,228.922393798828,mz110.05997998779rt246.866394,1,2,2-Aminophenol,95-55-6,NA,C01987,MONA_11027,(M+H)+,0.2096405,0.9999648,NA,NA,35  (nominal),0.7459249,0.8411899,monaDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
M111T104_NEG,111.019688084122,104.019187927246,mz111.019882202148rt118.38555,1,2,Uracil,66-22-8,HMDB0000300,C00106,shen_756_HMDB00300,(M-H)-,0.2379496,0.9999547,NA,NA,Unknown_1,0.6989001,0.8117956,hmdbDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M111T109_POS,111.05539723093,109.076873779297,mz111.055278520042rt111.923112,1,2,1-Acetylimidazole,NA,NA,C02560,MONA_14521,(M+H)+,0.0857299,0.9999941,NA,NA,HCD (NCE 20-30-40%),0.6676418,0.7922739,monaDatabase0.0.1,Organoheterocyclic compounds,Azoles,Imidazoles
M111T117_POS,111.043839679599,116.658004760742,mz111.044219970703rt122.737962,1,2,Catechol,120-80-9,HMDB0000957,C00090,MONA_8979,(M+H)+,0.3513468,0.9999012,NA,NA,20,0.5052432,0.6907399,monaDatabase0.0.1,Benzenoids,Phenols,Benzenediols
M111T332_POS,111.043836938431,332.052810668945,mz111.044197938845rt319.125024,1,2,"1,3-Benzenediol",108-46-3,HMDB0032037,C01751,n00124,(M+H)+,0.2948471,0.99993050000000006,NA,NA,20,0.6851774,0.8032098,nistDatabase0.0.1,Benzenoids,Phenols,Benzenediols
M111T519_POS,111.080314224539,518.524841308594,mz111.080419974788rt507.513582,1,2,.gamma.-Heptalactone,105-21-5,HMDB0031681,NA,NO07461,(M+H-H2O)+,0.04993697,0.999998,NA,NA,15,0.4461347,0.6538334,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
M112T315_POS,112.050352294632,315.342437744141,mz112.050704956055rt303.514686,1,2,Cytosine,71-30-7,HMDB0000630,C00380,S0041,(M+H)+,0.3623901,0.9998949,NA,NA,15,0.7876665,0.8672522,nistDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M113T240_POS,113.059483672646,240.297172546387,mz113.059867858887rt294.580038,1,2,"(2E,4E)-Hexa-2,4-dienoic acid",110-44-1,HMDB0029581,D05892,NO07293,(M+H)+,0.4196472,0.9998591,NA,NA,5,0.4553464,0.6595387,orbitrapDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M113T294_POS,113.034376371818,294.058776855469,mz113.034721374512rt279.130908,1,2,URACIL,NA,HMDB0000300,C00106,MONA_18148,(M+H)+,0.3600163,0.9998963,NA,NA,10,0.7567304,0.8479176,monaDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M113T338_NEG,113.060663133941,337.736877441406,mz113.060623551276rt374.160174,1,2,3-Methyl-4-pentenoic acid,1879-03-4,NA,NA,NO07313,(M-H)-,0.4411218,0.9998443,NA,NA,10,0.5772331,0.7357123,orbitrapDatabase0.0.1,NA,NA,NA
M114T161_POS,114.054984158832,160.873474121094,mz114.055191040039rt152.328192,1,2,5-Aminolevulinic acid,106-60-5,HMDB0001149,C00430,NO07497,(M+H-H2O)+,0.7276001,0.9995766,NA,NA,10,0.5950514,0.7467484,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M115T124_POS,115.049874114035,124.480613708496,mz115.050308227539rt124.2597,1,2,Dihydrouracil,504-07-4,HMDB0000076,C00429,NO07314,(M+H)+,0.2705688,0.9999414,NA,NA,10,0.6291618,0.7682041,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M115T98_NEG,115.003513410383,97.7984085083008,mz115.003456115723rt121.669806,1,2,Maleic acid,110-16-7,HMDB0000176,C01384,M0762,(M-H)-,0.6097107,0.9997026,NA,NA,20,0.7147074,0.8215806,metlinDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
M116T107_POS,116.070642400632,106.681228637695,mz116.070724487305rt132.809592,1,2,Proline,NA,HMDB0000162,C00148,MassBank_16165,(M+H)+,0.2362183,0.9999554,NA,NA,35.0,0.575579,0.7347202,massbankDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M116T108_NEG,116.035079611123,107.768981933594,mz116.035208562707rt115.677072,1,2,N-Acetylglycine,543-24-8,NA,NA,NO07357,(M-H)-,0.2285932,0.9999582,NA,NA,15,0.678293,0.7989175,orbitrapDatabase0.0.1,NA,NA,NA
M116T112_POS,116.106688653314,112.2109375,mz116.107078552246rt100.106706,1,2,trans-4-Aminocyclohexanol,27489-62-9,NA,NA,NO07330,(M+H)+,0.1963806,0.9999691,NA,NA,5,0.5184927,0.6990464,orbitrapDatabase0.0.1,NA,NA,NA
M117T122_NEG,117.019140755056,121.579467773438,mz117.019187927246rt152.810532,1,2,Succinic acid,NA,NA,C00042,MONA_16004,(M-H)-,0.3018619,0.9999271,NA,NA,HCD (NCE 20-30-40%),0.7521965,0.8450955,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
M117T141_POS,117.054683206414,140.978912353516,mz117.054498324321rt129.24561,1,1,Levulinic acid,NA,HMDB0000720,NA,RPLC_43,(M+H)+,0.2541892,0.9999483,89.64561,0.608919,NCE25,0.5273432,0.6658884,msDatabase_rplc0.0.1,NA,NA,NA
M117T242_NEG,117.05554380137,242.099838256836,mz117.055639995984rt291.62964,1,2,3-Hydroxyisovaleric acid,625-08-1,HMDB0000754,NA,S0198,(M-H)-,0.15001,0.999982,NA,NA,20,0.716349,0.8227114,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M117T277_NEG,117.055533839614,277.147705078125,mz117.055603027344rt320.439306,1,2,2-Methyl-3-hydroxybutyric acid,473-86-9,HMDB0000354,NA,L0197,(M-H)-,0.2424316,0.999953,NA,NA,20,0.726385,0.828973,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M118T119_POS,118.086048782809,119.484790802002,mz118.086104139338rt109.210788,1,2,VALINE,NA,HMDB0000883,C00183,MONA_18158,(M+H)+,0.4361317,0.9998478,NA,NA,10,0.7221786,0.8263045,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M118T344_POS,118.064860666425,343.769180297852,mz118.065248279103rt330.84456,1,2,Indole,120-72-9,HMDB0000738,C00463,S0044,(M+H)+,0.2456978,0.9999517,NA,NA,15,0.7283483,0.8301996,nistDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Indoles
M118T382_NEG,118.050812643489,381.924041748047,mz118.050857543945rt397.796604,1,2,Threonine,NA,NA,C00188,MONA_16022,(M-H)-,0.2140101,0.9999634,NA,NA,HCD (NCE 20-30-40%),0.6058769,0.7536593,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M119T143_POS,119.049212823773,143.104995727539,mz119.049308115223rt131.427444,1,2,Phenylacetic acid,103-82-2,HMDB0000209,C07086,M0055,(M+H-H2O)+,0.5202881,0.9997835,NA,NA,30,0.5974275,0.748311,metlinDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,NA
M119T320_NEG,119.050092284023,319.693161010742,mz119.050010681152rt358.133418,1,2,4-Vinylphenol,NA,NA,C05627,MONA_15501,(M-H)-,0.5104871,0.9997915,NA,NA,HCD (NCE 20-30-40%),0.7361657,0.8350254,monaDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Styrenes
M119T88_NEG,119.034718963518,88.4542770385742,mz119.03482303872rt109.443492,1,1,PURINE,NA,HMDB0001366,C15587,RPLC_247,(M-H)-,3.692403,0.9891522,19.44349,0.9769338,NCE25,0.4151099,0.6990764,msDatabase_rplc0.0.1,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
M120T110_POS,120.065285977243,109.845062255859,mz120.065690057814rt99.837192,1,2,(2-Mercaptoethyl)guanidine,1190-74-5,NA,NA,NO07387,(M+H)+,16.72514,0.7994875,NA,NA,5,0.4013279,0.5506377,orbitrapDatabase0.0.1,NA,NA,NA
M120T303_POS,120.080656057821,303.445159912109,mz120.080637737977rt280.049988,1,2,2-Hydroxyphenethylamine,7568-93-6,HMDB0001065,C02735,n00285,(M+H-H2O)+,0.3056551,0.9999253,NA,NA,20,0.7266248,0.8291125,nistDatabase0.0.1,Organic nitrogen compounds,Organonitrogen compounds,Amines
M120T358_POS,120.044270449146,357.925064086914,mz120.044563293457rt345.267324,1,2,Anthranilic acid,118-92-3,HMDB0001123,C00108,NO07609,(M+H-H2O)+,0.4082336,0.9998667,NA,NA,20,0.7623325,0.8514078,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M121T152_POS,121.039655779989,151.607879638672,mz121.039779663086rt139.578948,1,2,cis-Urocanic acid,NA,NA,NA,MONA_19104,(M+H-H2O)+,0.3805777,0.9998841,NA,NA,20,0.7248763,0.8280042,monaDatabase0.0.1,NA,NA,NA
M121T175_2_POS,121.06465579921,174.637222290039,mz121.064977704478rt159.999966,1,2,Phenylacetaldehyde,NA,HMDB0006236,C00601,MONA_15172,(M+H)+,0.4070712,0.9998674,NA,NA,HCD (NCE 20-30-40%),0.7384192,0.8364623,monaDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Phenylacetaldehydes
M121T264_2_NEG,121.029371024604,263.593139648438,mz121.029296543472rt296.939766,1,2,4-Hydroxybenzaldehyde,123-08-0,HMDB0011718,C00633,shen_3311_HMDB11718,(M-H)-,0.4572313,0.9998328,NA,NA,Unknown_1,0.8014713,0.8758569,hmdbDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
M121T452_2_POS,121.028259589103,452.415802001953,mz121.028589849354rt447.925164,1,2,Salicylic acid,69-72-7,HMDB0001895,C00805,NO07610,(M+H-H2O)+,0.4746234,0.9998198,NA,NA,20,0.7547172,0.8466307,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M122T305_POS,122.031495897711,305.176513671875,mz122.031784057617rt289.752162,1,2,L-Cysteine,52-90-4,HMDB0000574,C00097,shen_1013_HMDB00574,(M+H)+,11.83724,0.8939583,NA,NA,Unknown_1,0.5874123,0.702367,hmdbDatabase0.0.1,NA,NA,NA
M122T343_POS,122.096280839042,342.667541503906,mz122.096556701664rt284.376042,1,2,"N,N-Dimethylaniline",121-69-7,HMDB0001020,C02846,shen_1657_HMDB01020,(M+H)+,0.2683617,0.9999424,NA,NA,Unknown_6,0.5946854,0.7466568,hmdbDatabase0.0.1,Organic nitrogen compounds,Organonitrogen compounds,Amines
M122T413_POS,122.060071747154,412.608215332031,mz122.059838760008rt396.243876,1,2,Benzamide,55-21-0,HMDB0004461,C09815,shen_3015_HMDB04461,(M+H)+,0.5627275,0.9997467,NA,NA,Unknown_1,0.7640554,0.8524396,hmdbDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M123T128_POS,123.043903216493,128.025108337402,mz123.04421598562rt131.29008,1,1,Benzoate,NA,NA,NA,RPLC_329,(M+H)+,0.3399641,0.9999075,26.22445,0.9584365,NCE25,0.7279559,0.8535639,msDatabase_rplc0.0.1,NA,NA,NA
M123T225_POS,123.055055355046,224.724060058594,mz123.055452215376rt207.660258,1,2,Niacinamide,98-92-0,HMDB0001406,C00153,shen_1900_HMDB01406,(M+H)+,0.3484784,0.9999029,NA,NA,Unknown_1,0.7398646,0.837379,hmdbDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
M123T296_NEG,123.044849206023,295.647796630859,mz123.045029983272rt328.341744,1,2,3-(Hydroxymethyl)phenol,NA,NA,C03351,MONA_15442,(M-H)-,0.2487818,0.9999505,NA,NA,HCD (NCE 20-30-40%),0.7587155,0.8491786,monaDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols
M123T367_POS,123.043816618902,366.560440063477,mz123.044177600833rt355.872186,1,2,Benzoic acid,NA,HMDB0001870,C00180,MONA_14728,(M+H)+,0.2454221,0.9999518,NA,NA,HCD (NCE 20-30-40%),0.7532464,0.8457609,monaDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M124T306_POS,124.03935120743,306.286315917969,mz124.039175001587rt365.003364,1,2,Picolinic acid,98-98-6,HMDB0002243,C10164,shen_2479_HMDB02243,(M+H)+,0.3835185,0.9998823,NA,NA,Unknown_1,0.6967424,0.8104199,hmdbDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
M125T374_POS,125.107300594369,374.439346313477,mz125.107513427734rt362.322324,1,2,1-Butylimidazole,4316-42-1,NA,NA,NO07412,(M+H)+,0.5335693,0.9997723,NA,NA,10,0.6637872,0.7897816,orbitrapDatabase0.0.1,NA,NA,NA
M125T436_POS,125.023235057049,435.558807373047,mz125.023487047246rt427.132218,1,2,5-Hydroxymethyl-2-furancarboxylic acid,6338-41-6,HMDB0002432,C20448,NO07680,(M+H-H2O)+,0.4676181,0.9998251,NA,NA,25,0.7015745,0.8134185,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Furans,Furoic acid and derivatives
M125T588_POS,125.095996705667,588.077819824219,mz125.096286581698rt584.754054,1,2,.gamma.-Octalactone,104-50-7,HMDB0035422,NA,NO07688,(M+H-H2O)+,0.4664542,0.999826,NA,NA,10,0.4085086,0.6302526,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
M125T96_NEG,124.991223307608,95.810962677002,mz124.991088867188rt99.249792,1,1,Isethionic acid sodium salt,NA,NA,NA,RPLC_76,(M-H)-,0.777832,0.9995161,66.24979,0.7626713,NCE50,0.7502464,0.8156701,msDatabase_rplc0.0.1,NA,NA,NA
M126T130_POS,126.065968879381,130.145782470703,mz126.066347211697rt118.577568,1,1,5-Methylcytosine hydrochloride,NA,NA,NA,RPLC_5,(M+H)+,0.3680292,0.9998916,88.57757,0.616116,NCE50,0.7184479,0.7632258,msDatabase_rplc0.0.1,NA,NA,NA
M126T329_POS,126.054971602041,329.412017822266,mz126.055118615054rt317.704182,1,2,N-Ethylmaleimide,128-53-0,NA,C02441,NO07429,(M+H)+,0.2965376,0.9999297,NA,NA,5,0.5350353,0.7093707,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Pyrrolidines,Pyrrolidones
M127T191_POS,127.038789747816,190.600852966309,mz127.03914642334rt212.481864,1,2,Maltol,118-71-8,HMDB0030776,C11918,NO07430,(M+H)+,0.3660583,0.9998928,NA,NA,20,0.7213864,0.8258263,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives
M127T222_POS,127.049961452964,222.198471069336,mz127.050326253642rt209.290488,1,2,Thymine,65-71-4,HMDB0000262,C00178,S0049,(M+H)+,0.2406341,0.9999537,NA,NA,20,0.7981958,0.873855,nistDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M127T373_POS,127.038869001777,373.2265625,mz127.038880713823rt354.444708,1,2,Phloroglucinol,NA,HMDB0013675,C02183,MONA_15181,(M+H)+,0.2833454,0.9999358,NA,NA,HCD (NCE 20-30-40%),0.5442864,0.7151549,monaDatabase0.0.1,Benzenoids,Phenols,Benzenetriols and derivatives
M128T103_NEG,128.035231821439,103.095756530762,mz128.03514405627rt133.034682,1,2,L-Pyroglutamic acid,98-79-3,HMDB0000267,C01879,S0010,(M-H)-,0.3648593,0.9998935,NA,NA,25,0.733525,0.8334132,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M128T266_NEG,128.035348053757,265.575958251953,mz128.035161633741rt222.880764,1,2,DL-Pyroglutamic acid,149-87-1,HMDB0000267,NA,NO07473,(M-H)-,0.3459156,0.9999043,NA,NA,20,0.7248644,0.8280044,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M128T374_POS,128.042464365687,374.106552124023,mz128.045547485352rt342.330678,1,2,5-Aminouracil,932-52-5,NA,NA,NO07442,(M+H)+,0.1187134,0.9999887,NA,NA,10,0.485585,0.6784864,orbitrapDatabase0.0.1,NA,NA,NA
M128T431_POS,128.106955554928,430.944885253906,mz128.10692709096rt477.699672,1,2,DL-Norleucine methyl ester,51220-79-2,NA,NA,NO07721,(M+H-H2O)+,0.1822726,0.9999734,NA,NA,15,0.5913418,0.7445787,orbitrapDatabase0.0.1,NA,NA,NA
M129T114_POS,129.018261771219,113.609714508057,mz129.018402099609rt102.164826,1,2,2-Thiouracil,141-90-2,NA,C19304,NO07458,(M+H)+,16.75525,0.7988431,NA,NA,10,0.5105657,0.6186697,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M129T117_POS,129.102253787274,117.251922607422,mz129.102676391602rt107.977062,1,1,L-(+)-Lysine Monohydrate,NA,NA,NA,RPLC_144,(M+H-H2O)+,1.120979,0.9989952,74.97706,0.7067984,NCE50,0.5941367,0.7235167,msDatabase_rplc0.0.1,NA,NA,NA
M129T187_POS,129.06568303794,186.74055480957,mz129.065714046796rt202.613448,1,2,Dihydrothymine,696-04-8,HMDB0000079,C00906,n00222,(M+H)+,0.414883,0.9998623,NA,NA,20,0.6717463,0.7947898,nistDatabase0.0.1,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
M129T280_POS,129.054587291765,280.420623779297,mz129.0544586727rt330.549618,1,2,2-Methylglutaric acid,617-62-9,HMDB0000422,NA,S0178,(M+H-H2O)+,0.3783182,0.9998855,NA,NA,10,0.5662004,0.7288323,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M129T311_POS,129.054666072455,311.059600830078,mz129.054733276367rt266.451516,1,2,3-Methylglutaric acid,626-51-7,HMDB0000752,NA,S0170,(M+H-H2O)+,0.3081909,0.999924,NA,NA,10,0.5376343,0.7109929,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M129T318_NEG,129.055549651285,318.305694580078,mz129.055520289283rt375.411978,1,2,4-Acetylbutyric acid,NA,NA,C02129,MONA_15476,(M-H)-,0.4347268,0.9998488,NA,NA,HCD (NCE 20-30-40%),0.4293244,0.643271,monaDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M129T458_POS,129.065728298913,457.844375610352,mz129.065780639648rt415.954512,1,2,3-Methylpyrazole,1453-58-3,NA,NA,MONA_11041,(M+HCOO+2H)+,0.2938809,0.9999309,NA,NA,35  (nominal),0.6637168,0.7897971,monaDatabase0.0.1,NA,NA,NA
M130T132_POS,130.049872155438,132.437675476074,mz130.049821532614rt135.787452,1,2,5-oxoproline,NA,HMDB0000267,C01879,MONA_17999,(M+H)+,0.1788785,0.9999744,NA,NA,10,0.7426191,0.8391273,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M130T405_NEG,130.087223221807,404.529907226562,mz130.087158203125rt457.164336,1,2,L-beta-Homovaline,219310-09-5,NA,C02486,MassBank_17484,(M-H)-,0.4294922,0.9998524,NA,NA,Ramp 5-60,0.4907084,0.6816374,massbankDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M130T527_1_POS,130.06509742586,526.697509765625,mz130.065277099609rt568.069542,1,2,Quinoline,91-22-5,HMDB0033731,C06413,shen_5073_HMDB33731,(M+H)+,0.3196765,0.9999182,NA,NA,Unknown_6,0.7412009,0.8382199,hmdbDatabase0.0.1,Organoheterocyclic compounds,Quinolines and derivatives,NA
M131T114_POS,131.11772421233,114.094879150391,mz131.118057245796rt101.356452,1,2,N-Acetylputrescine,5699-41-2,HMDB0002064,C02714,M0404,(M+H)+,0.3931145,0.9998764,NA,NA,20,0.8007125,0.875399,metlinDatabase0.0.1,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids
M131T133_POS,131.053169105205,133.469451904297,mz131.053207397461rt123.278064,1,2,"3-Amino-1,2,4-triazole",61-82-5,NA,C11261,MONA_11074,(M+HCOO+2H)+,7.971826,0.9504307,NA,NA,35  (nominal),0.6096379,0.7374352,monaDatabase0.0.1,Organoheterocyclic compounds,Azoles,Triazoles
M131T185_NEG,131.034821099945,185.319259643555,mz131.034794876245rt244.092978,1,2,Glutaric acid,110-94-1,HMDB0000661,C00489,S0163,(M-H)-,0.4128094,0.9998637,NA,NA,25,0.7017532,0.8135446,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
M131T528_1_POS,131.049081538762,527.861938476562,mz131.049053061641rt524.642958,1,2,Trans-Cinnamic acid,621-82-9,HMDB0000930,C10438,MONA_18451,(M+H-H2O)+,0.1910859,0.9999708,NA,NA,20,0.7074555,0.8171487,monaDatabase0.0.1,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids
M132T113_POS,132.102031713189,113.114498138428,mz132.101778591545rt172.16058,1,2,L-Leucine,61-90-5,HMDB0000687,C00123,NO07501,(M+H)+,0.3035211,0.9999263,NA,NA,15,0.7324686,0.8327652,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M132T319_POS,132.10203435035,318.80712890625,mz132.101762607195rt265.9281,1,2,N-Methyl-L-valine,2480-23-1,HMDB0061716,NA,NO07502,(M+H)+,0.343482,0.9999056,NA,NA,10,0.4036691,0.6272578,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M133T113_NEG,133.050451593159,112.57905960083,mz133.050424507967rt154.72539,1,2,"2,3-Dihydroxy-3-methylbutyric acid",1756-18-9,HMDB0012141,C04039,n00280,(M-H)-,0.4637301,0.999828,NA,NA,20,0.4189446,0.6367759,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M133T531_POS,133.064651494995,531.028869628906,mz133.064971923828rt548.830278,1,2,1-Indanone,83-33-0,HMDB0059602,C01504,M1149,(M+H)+,0.4298096,0.9998522,NA,NA,20,0.6900054,0.806198,metlinDatabase0.0.1,Benzenoids,Indanes,Indanones
M134T114_POS,134.044776127823,114.110717773438,mz134.044681164882rt122.483436,1,2,Aspartic acid,NA,HMDB0000191,C00049,MONA_14717,(M+H)+,0.3163478,0.9999199,NA,NA,HCD (NCE 20-30-40%),0.6753638,0.7970723,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M135T106_NEG,135.029506719012,106.314838409424,mz135.029746827502rt115.938942,1,2,L-Threonate,70753-61-6,HMDB0000943,NA,L0376,(M-H)-,0.3079312,0.9999241,NA,NA,20,0.7341056,0.8337875,nistDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
M135T449_POS,135.043945535332,448.696365356445,mz135.043937687724rt438.037944,1,2,2-Methoxybenzoic acid,579-75-9,HMDB0032604,NA,NO00069,(M+H-H2O)+,0.1557807,0.9999806,NA,NA,15,0.6969711,0.8105997,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M135T517_POS,135.043978122313,517.308288574219,mz135.044187340957rt515.239386,1,2,1-Isobenzofuranone,87-41-2,HMDB0032469,C09921,NO07555,(M+H)+,0.2183524,0.9999619,NA,NA,20,0.553914,0.721182,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Isocoumarans,Isobenzofuranones
