"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS"
"M310T613_POS",310.2007397,612.7053528,"mz310.201184116019rt590.896956",1,2,"Octanoyl-L-Carnitine",NA,"HMDB0000791","C02838","MONA_18531","(M+Na)+",5.56427,0.9755354,NA,NA,"40",0.6829371
"M313T821_POS",313.1428798,820.7781372,"mz313.14322294831rt840.92844",1,2,"Benzyl-butyl-phthalate","85-68-7",NA,NA,"MassBank_2134","(M+H)+",0.5926292,0.9997191,NA,NA,"60 (nominal)",0.5100847
"M315T836_POS",315.2527638,836.0986023,"mz315.252890249669rt834.81552",1,2,"Dibutyl decanedioate","109-43-3","HMDB41220",NA,"n01457","(M+H)+",0.2993758,0.9999283,NA,NA,"35",0.6322243
"M332T141_POS",332.097274,140.8693085,"mz332.103042977796rt196.713138",1,2,"(+)-Epicatechin","35323-91-2","HMDB37954","C09728","shen_5359_HMDB37954","(M+CH3CN+H)+",24.48801,0.6189505,NA,NA,"Unknown_9",0.5863367
"M343T138_POS",343.161041,137.5621338,"mz343.162032555828rt110.668848",1,2,"Gly-Pro-Glu","32302-76-4",NA,NA,"NO03632","(M+CH3CN+H)+",2.08139,0.9965403,NA,NA,"30",0.6796249
"M384T729_POS",384.2742801,728.5300293,"mz384.274293298723rt728.0196",1,2,"Linoleoylglycine","3/6/2764",NA,NA,"NO04517","(M+HCOO+2H)+",0.5167532,0.9997864,NA,NA,"50",0.5163212
"M399T878_POS",399.2502841,877.7207642,"mz399.250426487785rt875.72292",1,2,"Tris(2-butoxyethyl) phosphate","78-51-3",NA,NA,"NO05929","(M+H)+",0.4337805,0.9998495,NA,NA,"35",0.7410565
"M545T531_POS",545.2355175,530.9396667,"mz545.238455676446rt545.540958",1,2,"10-Deacetylbaccatin III","32981-86-5","METPA1053","C11700","NO07011","(M+H)+",0.4689259,0.9998241,NA,NA,"5",0.4034559
"M255T809_NEG",255.2324338,808.803009,"mz255.232620239258rt834.74388",1,1,"PALMITATE",NA,"HMDB0000220","C00249","RPLC_303","(M-H)-",0.7744019,0.9995204,73.34388,0.7174464,"NCE25",0.6946679
"M75T1140_NEG",75.00638827,1140.401123,"mz75.00643157959rt1151.38728",1,2,"Glycolate","79-14-1","HMDB00115","C00160","L0001","(M-H)-",5.796051,0.9734826,NA,NA,"20",0.7510476
"M85T125_NEG",85.0243501,125.4738388,"mz85.024411984276rt131.33343",1,2,"1,4-Butynediol",NA,NA,NA,"MONA_15372","(M-H)-",12.66862,0.8795058,NA,NA,"HCD (NCE 20-30-40%)",0.7254902
"M88T259_NEG",88.04226705,258.9947815,"mz88.040306091309rt221.7669",1,2,"L-Alanine","56-41-7","HMDB00161","C00041","M0016","(M-H)-",0.2347717,0.9999559,NA,NA,"20",0.7125768
"M101T370_NEG",101.0538655,370.4110107,"mz101.05399766412rt354.953046",1,2,"Isovaleric acid","503-74-2","HMDB00718","C08262","S0206","(M-H)-",16.95584,0.7945333,NA,NA,"10",0.4015991
"M121T357_2_NEG",121.0293726,357.2286682,"mz121.02932187963rt355.923546",1,2,"3-Hydroxybenzaldehyde",NA,NA,NA,"MONA_15451","(M-H)-",0.3938809,0.9998759,NA,NA,"HCD (NCE 20-30-40%)",0.7765194
"M130T127_NEG",130.0506303,127.123024,"mz130.050811767578rt174.29265",1,2,"4-Hydroxy-L-proline","51-35-4","HMDB0006055","C01157","MassBank_16276","(M-H)-",0.3205811,0.9999178,NA,NA,"35",0.6604731
"M141T786_NEG",141.0167931,785.8734131,"mz141.01676940918rt838.50132",1,2,"Oxoadipic acid","3184-35-8","HMDB0000225","C00322","M0389","(M-H2O-H)-",6.326477,0.9684877,NA,NA,"30",0.6305787
"M141T614_NEG",141.0918747,614.449585,"mz141.091892595536rt559.523178",1,2,"3-Hydroxyoctanoic acid","14292-27-4","HMDB01954",NA,"NO00203","(M-H2O-H)-",0.2685112,0.9999423,NA,NA,"20",0.5805413
"M147T101_NEG",147.0294949,100.7257309,"mz147.029683293562rt148.222692",1,2,"Citramalic acid","597-44-4 (1030365-02-6)","HMDB00426","C00815","S0222","(M-H)-",0.4667661,0.9998257,NA,NA,"25",0.7328435
"M155T108_NEG",154.9983249,107.8541031,"mz155.001693725586rt109.047798",1,2,"Orotic acid","65-86-1","HMDB00226","C00295","NO00146","(M-H)-",20.26569,0.7199609,NA,NA,"5",0.5092121
"M156T360_NEG",156.0662953,360.0757446,"mz156.06648042897rt367.161456",1,2,"N-Tigloylglycine","35842-45-6","HMDB0000959",NA,"NO00157","(M-H)-",0.2989276,0.9999285,NA,NA,"20",0.753366
"M159T386_NEG",159.0697554,385.7581024,"mz159.06611588521rt425.192028",1,2,"3-Methyladipic acid","1/3/3058","HMDB0000555",NA,"NO00239","(M-H)-",0.460287,0.9998305,NA,NA,"20",0.7364986
"M173T491_NEG",173.0816798,490.5571289,"mz173.081574480609rt519.30228",1,2,"Suberic acid","505-48-6","HMDB00893","C08278","NO00513","(M-H)-",0.8137985,0.9994703,NA,NA,"15",0.6679294
"M194T771_NEG",194.0816459,770.7661133,"mz194.081973994397rt758.95356",1,2,"O-Benzyl-L-serine","4726-96-9",NA,NA,"NO01073","(M-H)-",0.565014,0.9997446,NA,NA,"5",0.682028
"M199T945_NEG",199.1699696,945.2091675,"mz199.170000110042rt939.56508",1,2,"Lauric acid","143-07-7","HMDB00638","C02679","M0563","(M-H)-",0.7497249,0.9995504,NA,NA,"20",0.687901
"M205T404_NEG",204.9971958,403.8407898,"mz204.997225910783rt414.337074",1,2,"3,4-Dihydroxyphenylacetic acid",NA,"HMDB0001336","C01161","MONA_15436","(M+K-2H)-",15.91794,0.8165194,NA,NA,"HCD (NCE 20-30-40%)",0.5748443
"M205T140_NEG",205.034703,140.2965698,"mz205.034906803961rt153.44481",1,2,"Homocitrate","3562-74-1","HMDB03518","C01251","L0149","(M-H)-",1.10799,0.9990184,NA,NA,"20",0.5479596
"M205T891_NEG",205.1593478,891.2888794,"mz205.159301757813rt886.1463",1,2,"2,4-Di-tert-butylphenol","96-76-4","HMDB0013816",NA,"NO01333","(M-H)-",1.245605,0.9987595,NA,NA,"30",0.5467373
"M207T313_NEG",207.0768621,313.3475647,"mz207.077011108398rt275.463126",1,2,"L-Kynurenine","343-65-7  (2922-83-0)","HMDB00684","C00328","S0083","(M-H)-",1.197229,0.998854,NA,NA,"35,15",0.725131
"M211T225_NEG",211.0719131,225.3053131,"mz211.072165504875rt259.78626",1,2,"Pinosylvin","22139-77-1",NA,"C01745","M0861","(M-H)-",10.58624,0.9142468,NA,NA,"20",0.4588664
"M222T677_NEG",222.1132001,676.7675781,"mz222.113234510943rt675.65394",1,2,"Bufexamac","2438-72-4",NA,"D01271","MONA_1254","(M-H)-",0.7722326,0.999523,NA,NA,"15 (nominal)",0.5452309
"M227T731_NEG",227.1283803,730.8582764,"mz227.1285344213rt763.47672",1,2,"Traumatic Acid","6402-36-4","HMDB00933","C16308","S0283","(M-H)-",0.8139468,0.9994701,NA,NA,"10",0.6937523
"M227T871_NEG",227.2011906,871.4830933,"mz227.201263301856rt883.23066",1,2,"Ethyldodecanoate",NA,NA,NA,"MONA_17173","(M-H)-",0.9170854,0.9993274,NA,NA,"35",0.7024024
"M235T648_NEG",235.0947,647.9141541,"mz235.097246177713rt639.38292",1,2,"Carboxyibuprofen",NA,NA,NA,"MONA_15599","(M-H)-",0.7820357,0.9995109,NA,NA,"HCD (NCE 20-30-40%)",0.6261175
"M239T957_NEG",239.0848055,956.9787292,"mz239.084991041356rt908.9934",1,2,".beta.-Carboline-1-propionic acid","89915-39-9",NA,NA,"NO02099","(M-H)-",5.977603,0.9718193,NA,NA,"10",0.548547
"M241T976_NEG",241.2168948,975.8131714,"mz241.21696472168rt976.62972",1,2,"Pentadecanoic Acid","1002-84-2","HMDB00826","C16537","S0364","(M-H)-",0.7881958,0.9995031,NA,NA,"35",0.5661588
"M257T564_NEG",257.1501333,563.6603699,"mz257.150448954284rt562.913142",1,2,"1,3-Benzenediol, 5-methyl-4-[(1R,6R)-3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl]-","317321-41-8",NA,NA,"NO02425","(M-H)-",10.62761,0.913605,NA,NA,"15",0.4438622
"M258T359_NEG",258.043722,359.1260529,"mz258.043726839706rt366.536166",1,2,"D-Glucosamine 1-phosphate (Glucosamine-1P)","2152-75-2","HMDB01109",NA,"L0068","(M-H)-",13.2921,0.8681907,NA,NA,"10",0.5785682
"M261T453_NEG",261.043629,452.6374817,"mz261.04345703125rt439.385082",1,2,"5-Fluorouridine","316-46-1","HMDB60396",NA,"NO02533","(M-H)-",23.35742,0.6463234,NA,NA,"10",0.4433554
"M271T525_NEG",271.0729156,524.5414429,"mz271.073253831058rt474.833478",1,2,"Arbutin","497-76-7","HMDB29943","C06186","S0273","(M-H)-",22.64042,0.6636031,NA,NA,"10",0.4478935
"M271T882_NEG",271.2274733,881.5652466,"mz271.227508544922rt865.25952",1,2,"16-hydroxy hexadecanoic acid","506-13-8","HMDB06294","C18218","M1323","(M-H)-",0.7286377,0.9995754,NA,NA,"20",0.6413095
"M273T517_NEG",273.0435176,517.479126,"mz273.043575415359rt569.541258",1,2,"Phenylbenzimidazole sulfonic acid",NA,NA,NA,"MassBank_2266","(M-H)-",24.13854,0.6274224,NA,NA,"20",0.4353923
"M285T390_NEG",285.1451493,389.924469,"mz285.145257064943rt408.779688",1,2,"16.alpha.-Hydroxyestrone","566-76-7","HMDB00335","C05300","NO03238","(M-H)-",10.85734,0.9100048,NA,NA,"45",0.462592
"M325T974_NEG",325.1837333,973.8860168,"mz325.183849912489rt944.0106",1,2,"Dodecylbenzenesulfonic acid","121-65-3",NA,NA,"MassBank_874","(M-H)-",1.050219,0.999118,NA,NA,"35  (nominal)",0.6343421
"M353T705_NEG",353.1424062,705.3895264,"mz353.142547607422rt704.62974",1,2,"pGlu-Glu-Pro-amide","85541-78-2",NA,NA,"NO04983","(M-H)-",10.13098,0.9211712,NA,NA,"15",0.4819187
"M401T606_NEG",401.1629954,606.024292,"mz401.163269042969rt610.11228",1,2,"Glycine, 1,1'-(1,8-dioxo-1,8-octanediyl)bis[glycyl-","143673-93-2",NA,NA,"NO06000","(M-H)-",11.29455,0.9029813,NA,NA,"20",0.6218963
"M437T417_NEG",437.0864816,416.973999,"mz437.088748785701rt452.400366",1,2,"Flavin mononucleotide (FMN)","6184-17-4  (130-40-5)","HMDB01520",NA,"L0070","(M-H2O-H)-",4.641588,0.9829122,NA,NA,"45",0.6159648
"M465T741_NEG",465.2482357,741.1671753,"mz465.250247104626rt764.9277",1,2,"Androstan-3-ol-17-one 3-glucuronide","9/3/3602","HMDB04484","C11136","NO06722","(M-H)-",1.820751,0.9973514,NA,NA,"60",0.7965223
"M586T552_NEG",586.2321457,552.1437073,"mz586.234112736549rt598.554444",1,2,"[DAla2,DMet5] Enkephalin",NA,"METPA0001",NA,"NO07151","(M-H)-",0.02172605,0.9999996,NA,NA,"35",0.4730871
"M618T657_NEG",618.2945889,656.713501,"mz618.295044036043rt642.74832",1,2,"Parathyroid Hormone Related Peptide (107-111)",NA,"METPA0001",NA,"NO07872","(M-H)-",8.824208,0.9396072,NA,NA,"30",0.631352
"M632T95_NEG",632.2036021,94.73618317,"mz632.206121904217rt109.084896",1,2,"3'-Sialyllactose","35890-38-1","HMDB0000825",NA,"NO07912","(M-H)-",2.88182,0.9933781,NA,NA,"25",0.4878037
"M879T594_NEG",879.3287192,593.5572815,"mz879.333367426099rt602.46324",1,2,"Candesartan","139481-59-7","HMDB0014934","C07468","MassBank_1716","(2M-H)-",24.18585,0.6262759,NA,NA,"15 % (nominal)",0.607045
"M932T755_NEG",931.5058513,754.5684509,"mz931.506072652667rt756.26886",1,2,"Androsterone glucuronide","1852-43-3","HMDB02829","C11135","NO06723","(2M-H)-",0.02935819,0.9999993,NA,NA,"60",0.7669376
