mz-peak	score	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=207.060371317	1.0	met68369	4-(2-Aminophenyl)-2,4-dioxobutanoic acid	HMDB0000978	Endogenous	Organic compounds	Cytoplasm	207.05315778	C10H9NO4
m/z=223.09178579	1.0	met48349	N-Acetyl-L-tyrosine	HMDB0000866	Endogenous	Organic acids and derivatives	Cytoplasm (predicted from logP)	223.08445791	C11H13NO4
m/z=292.099138515	1.0	met38051	Canavaninosuccinate	HMDB0012197	Endogenous	Organic compounds	NULL	292.10189889	C9H16N4O7
m/z=288.209194152	0.5	met71891	Epitestosterone	HMDB0000628	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane (predicted from logP)	288.20893014	C19H28O2
m/z=288.209194152	0.5	met30937	Androstanedione	HMDB0000899	Endogenous|Food	Organic compounds	Extracellular|Membrane (predicted from logP)|Endoplasmic reticulum	288.20893014	C19H28O2
m/z=288.209194152	0.5	met28506	Etiocholanedione 	HMDB0003769	Endogenous|Food|Microbial	Lipids and lipid-like molecules	Extracellular|Membrane	288.20893014	C19H28O2
m/z=207.060414176	1.0	met68369	4-(2-Aminophenyl)-2,4-dioxobutanoic acid	HMDB0000978	Endogenous	Organic compounds	Cytoplasm	207.05315778	C10H9NO4
m/z=325.214660206	1.0	met7002	Farnesylcysteine	HMDB0011627	Endogenous	Organic compounds	Membrane (predicted from logP)	325.20754993	C18H31NO2S
m/z=683.317659888	1.0	met25649	Chitin	HMDB0003362	Endogenous	Organic compounds	Extracellular	683.31128254	C28H49N3O16
m/z=294.128465444	1.0	met25859	Aspartame	HMDB0001894	Food	Organic compounds	NULL	294.1215717	C14H18N2O5
m/z=202.117823785	1.0	met51695	Sebacic acid	HMDB0000792	Endogenous	Lipids and lipid-like molecules	Membrane (predicted from logP)	202.12050906	C10H18O4
m/z=641.294069935	1.0	met26626	S-(PGA2)-glutathione	HMDB0013062	Endogenous	Organic compounds	NULL	641.29821543	C30H47N3O10S
m/z=285.044902859	1.0	met55078	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	HMDB0006211	Endogenous	Organic compounds	Cytoplasm	285.03620089	C6H12N3O8P
m/z=100.078909778	1.0	met11599	4-Methylpentanal	HMDB0001318	Endogenous	Organic compounds	Mitochondria	100.08881501	C6H12O
m/z=456.226054333	1.0	met34926	1-Lyso-2-arachidonoyl-phosphatidate	HMDB0012496	Endogenous|Food	Organic compounds	Extracellular|Membrane	456.22769005	C23H37O7P
m/z=226.091193341	1.0	met19472	Porphobilinogen	HMDB0000245	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	226.09535695	C10H14N2O4
m/z=434.251756007	0.5	met25418	LPA(0:0/18:2(9Z,12Z))	HMDB0007852	Endogenous|Food	Organic compounds	Extracellular|Membrane	434.24334011	C21H39O7P
m/z=434.251756007	0.5	met52770	LPA(18:2(9Z,12Z)/0:0)	HMDB0007856	Endogenous|Food	Organic compounds	Extracellular|Membrane	434.24334011	C21H39O7P
m/z=183.060453703	1.0	met58869	4-Pyridoxic acid	HMDB0000017	Endogenous	Organic compounds	Cytoplasm|Extracellular	183.05315778	C8H9NO4
m/z=190.042535446	1.0	met28999	3-Dehydroquinate	HMDB0012710	Endogenous	Organooxygen compounds	NULL	190.04773805	C7H10O6
m/z=376.132065051	1.0	met8969	Riboflavin	HMDB0000244	Drug|Food	Organoheterocyclic compounds	Extracellular	376.13828439	C17H20N4O6
m/z=190.100887749	1.0	met25683	N-Methylserotonin	HMDB0004369	Endogenous	Organic compounds	Cytoplasm	190.11061308	C11H14N2O
m/z=190.100887749	1.0	met39130	N-(o)-Hydroxyarginine	HMDB0004224	Endogenous	Organic compounds	NULL	190.10659033	C6H14N4O3
m/z=349.101882972	1.0	met23501	Ampicillin	HMDB0014559	Drug|Food	Organoheterocyclic compounds	Extracellular|Membrane	349.1096268	C16H19N3O4S
m/z=392.299224991	0.5	met25180	Isohyodeoxycholic acid	HMDB0000664	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	392.29265977	C24H40O4
m/z=392.299224991	0.5	met19081	3b,7a-Dihydroxy-5b-cholanoic acid	HMDB0000361	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	392.29265977	C24H40O4
m/z=199.12148967	1.0	met6082	Ecgonine methyl ester	HMDB0006406	Endogenous	Alkaloids and derivatives	Endoplasmic reticulum	199.12084341	C10H17NO3
m/z=259.175989666	1.0	met74386	Hexanoylcarnitine	HMDB0000705	Endogenous|Food	Organic compounds	Extracellular|Membrane	259.17835829	C13H25NO4
m/z=339.08797224	0.5	met45874	5-Hydroxy-6-methoxyindole glucuronide	HMDB0010363	Endogenous	Organic compounds	NULL	339.09541653	C15H17NO8
m/z=339.08797224	0.5	met56368	6-Hydroxy-5-methoxyindole glucuronide	HMDB0010362	Endogenous	Organic compounds	NULL	339.09541653	C15H17NO8
m/z=436.32563506	1.0	met27583	Varanic acid	HMDB0002195	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	436.31887452	C26H44O5
