mz-peak	score	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=316.247082074	1.0	met35362	Pregnenolone	HMDB0000253	Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane (predicted from logP)|Mitochondria|Endoplasmic reticulum	316.24023027	C21H32O2
m/z=316.247082074	1.0	met41150	20a-Dihydroprogesterone	HMDB0003069	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane (predicted from logP)	316.24023027	C21H32O2
m/z=314.119615495	1.0	met10941	7,8-Dihydropteroic acid	HMDB0001412	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	314.11273834	C14H14N6O3
m/z=258.077627759	1.0	met66379	Ribothymidine	HMDB0000884	Endogenous	Organic compounds	Cytoplasm	258.08518619	C10H14N2O6
m/z=189.049945142	1.0	met46305	Kynurenic acid	HMDB0000715	Endogenous	Organic compounds	Cytoplasm	189.0425931	C10H7NO3
m/z=416.335731085	1.0	met67228	7a,12a-Dihydroxy-cholestene-3-one	HMDB0002197	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane|Mitochondria	416.32904527	C27H44O3
m/z=416.335731085	1.0	met15222	Calcitriol	HMDB0001903	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane (predicted from logP)|Mitochondria	416.32904527	C27H44O3
m/z=210.08176706	1.0	met36976	Sedoheptulose	HMDB0003219	Endogenous|Plant	Organic compounds	Cytoplasm (predicted from logP)	210.0739528	C7H14O7
m/z=112.018782353	1.0	met58949	Uracil	HMDB0000300	Endogenous	Organoheterocyclic compounds	Extracellular	112.02727738	C4H4N2O2
m/z=316.247044439	1.0	met41150	20a-Dihydroprogesterone	HMDB0003069	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane (predicted from logP)	316.24023027	C21H32O2
m/z=316.247044439	0.5	met56860	5a-PregNULLe-3,20-dione	HMDB0003759	Endogenous|Food	Organic compounds	Extracellular|Membrane (predicted from logP)	316.24023027	C21H32O2
m/z=118.068359396	1.0	met22008	L-2,4-diaminobutyric acid	HMDB0006284	Endogenous	Organic compounds	Cytoplasm|Extracellular|Mitochondria	118.07422757	C4H10N2O2
m/z=462.217750744	1.0	met3048	6-Dehydrotestosterone glucuronide	HMDB0010337	Endogenous|Food	Organic compounds	Extracellular|Membrane	462.22536806	C25H34O8
m/z=286.243728374	1.0	met48613	N1,N12-Diacetylspermine	HMDB0002172	Endogenous	Organic compounds	NULL	286.23687622	C14H30N4O2
m/z=464.211488022	0.5	met51871	Estriol-3-glucuronide	HMDB0010335	Drug or steroid metabolite|Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	464.20463262	C24H32O9
m/z=464.211488022	0.5	met67578	Estriol-17-glucuronide	HMDB0010333	Drug or steroid metabolite|Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	464.20463262	C24H32O9
m/z=427.011724015	1.0	met42990	Adenosine phosphosulfate	HMDB0001003	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	427.01989889	C10H14N5O10PS
m/z=119.065398217	1.0	met12438	L-Homoserine	HMDB0000719	Endogenous|Microbial	Organic compounds	Extracellular	119.05824316	C4H9NO3
m/z=119.065398217	1.0	met27539	L-Threonine	HMDB0000167	Drug|Food|Plant	Organic compounds	Cytoplasm|Extracellular	119.05824316	C4H9NO3
m/z=360.200399235	1.0	met2699	Aldosterone	HMDB0000037	Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane|Mitochondria	360.19367401	C21H28O5
m/z=360.200399235	1.0	met53569	Cortisone	HMDB0002802	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane|Endoplasmic reticulum	360.19367401	C21H28O5
m/z=217.121461646	0.5	met7494	N-Desmethylaminopyrine	HMDB0013839	Drug metabolite|Endogenous	Organic compounds	Extracellular	217.12151212	C12H15N3O
m/z=217.121461646	1.0	met2772	Propionylcarnitine	HMDB0000824	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane|Mitochondria|Peroxisome	217.1314081	C10H19NO4
m/z=207.100315322	1.0	met16753	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone 	HMDB0011603	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	207.10077667	C10H13N3O2
m/z=480.228353456	1.0	met26341	11-Oxo-androsterone glucuronide	HMDB0010338	Drug or steroid metabolite|Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	480.23593275	C25H36O9
m/z=190.052970795	1.0	met28999	3-Dehydroquinate	HMDB0012710	Endogenous	Organooxygen compounds	NULL	190.04773805	C7H10O6
m/z=499.289924019	0.5	met10402	Taurochenodesoxycholic acid	HMDB0000951	Endogenous|Food|Microbial	Lipids and lipid-like molecules	Extracellular	499.29675887	C26H45NO6S
m/z=499.289924019	0.5	met36177	Tauroursodeoxycholic acid	HMDB0000874	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	499.29675887	C26H45NO6S
m/z=318.263039015	1.0	met65910	AllopregNULLolone	HMDB0001449	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	318.25588033	C21H34O2
