name,mz,rt,MS2.spectrum.name,Candidate.number,Identification,Level
M72T373,72.08080277,373.4211426,mz72.080955652193rt392.227716,1,Compound.name:Pyrrolidine;CAS.ID:123-75-1;HMDB.ID:HMDB31641;KEGG.ID:NA;Lab.ID:n00006;Adduct:(M+H)+;mz.error:0.3891305;mz.match.score:0.9998789;RT.error:NA;RT.match.score:NA;CE:40;SS:0.4067175;Total.score:0.629153;MS2.spectra.name:mz72.080955652193rt392.227716;Database:nistDatabase0.0.1;Dataset.index:5,2
M76T1160,76.04743651,1159.890625,mz76.047454833984rt1172.45622,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:C00037;Lab.ID:shen_283_HMDB00123;Adduct:(M+H)+;mz.error:20.31606;mz.match.score:0.7187843;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6815393;Total.score:0.6955062;MS2.spectra.name:mz76.047454833984rt1172.45622;Database:hmdbDatabase0.0.1;Dataset.index:7,2
M76T1062,76.0474565,1062.038086,mz76.047462463379rt1102.31592,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:C00037;Lab.ID:shen_283_HMDB00123;Adduct:(M+H)+;mz.error:20.33514;mz.match.score:0.7183386;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6861256;Total.score:0.6982055;MS2.spectra.name:mz76.047462463379rt1102.31592;Database:hmdbDatabase0.0.1;Dataset.index:7,2
M76T525,76.04745186,525.1044922,mz76.047485351563rt472.10325,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:C00037;Lab.ID:shen_283_HMDB00123;Adduct:(M+H)+;mz.error:20.39236;mz.match.score:0.7170006;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6618908;Total.score:0.682557;MS2.spectra.name:mz76.047485351563rt472.10325;Database:hmdbDatabase0.0.1;Dataset.index:1,2
M76T127,76.07571088,127.4130554,mz76.07576751709rt96.12669,1,Compound.name:Trimethylamine N-oxide;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15314;Adduct:(M+H)+;mz.error:0.1340227;mz.match.score:0.9999856;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7262342;Total.score:0.828891;MS2.spectra.name:mz76.07576751709rt96.12669;Database:monaDatabase0.0.1;Dataset.index:4,2
M76T669,76.04746736,669.4080811,mz76.047485351563rt633.6882,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:C00037;Lab.ID:shen_283_HMDB00123;Adduct:(M+H)+;mz.error:20.39236;mz.match.score:0.7170006;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6709911;Total.score:0.6882447;MS2.spectra.name:mz76.047485351563rt633.6882;Database:hmdbDatabase0.0.1;Dataset.index:7,2
M76T879,76.04746334,878.664856,mz76.047462463379rt909.4023,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:C00037;Lab.ID:shen_283_HMDB00123;Adduct:(M+H)+;mz.error:20.33514;mz.match.score:0.7183386;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6845399;Total.score:0.6972144;MS2.spectra.name:mz76.047462463379rt909.4023;Database:hmdbDatabase0.0.1;Dataset.index:7,2
M77T399,77.0385453,399.4291382,mz77.038650512695rt399.258582,1,Compound.name:Phenol;CAS.ID:108-95-2;HMDB.ID:HMDB00228;KEGG.ID:NA;Lab.ID:S0142;Adduct:(M+H-H2O)+;mz.error:0.2012817;mz.match.score:0.9999676;RT.error:NA;RT.match.score:NA;CE:40;SS:0.7088538;Total.score:0.8180215;MS2.spectra.name:mz77.038650512695rt399.258582;Database:nistDatabase0.0.1;Dataset.index:11,2
M79T130,79.02127696,129.9075623,mz79.021301269531rt124.93482,1,Compound.name:Dimethyl sulfoxide;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_14821;Adduct:(M+H)+;mz.error:0.1636438;mz.match.score:0.9999786;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7557001;Total.score:0.8473045;MS2.spectra.name:mz79.021301269531rt124.93482;Database:monaDatabase0.0.1;Dataset.index:10,2
M81T663,81.06985863,663.3360596,mz81.070006706662rt697.46472,1,Compound.name:4-Methylvaleric acid;CAS.ID:646-07-1;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_18409;Adduct:(M+H-2H2O)+;mz.error:0.4427067;mz.match.score:0.9998432;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4466239;Total.score:0.6540811;MS2.spectra.name:mz81.070006706662rt697.46472;Database:monaDatabase0.0.1;Dataset.index:4,2
M81T779,81.06975998,778.8272095,mz81.069966736128rt796.7178,1,Compound.name:4-Methylvaleric acid;CAS.ID:646-07-1;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_18409;Adduct:(M+H-2H2O)+;mz.error:0.3427803;mz.match.score:0.999906;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4456858;Total.score:0.6535184;MS2.spectra.name:mz81.069966736128rt796.7178;Database:monaDatabase0.0.1;Dataset.index:10,2
M81T485,81.06992797,485.2506104,mz81.070013016174rt485.129502,1,Compound.name:4-Methylvaleric acid;CAS.ID:646-07-1;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_18409;Adduct:(M+H-2H2O)+;mz.error:0.4584804;mz.match.score:0.9998319;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4425213;Total.score:0.6515128;MS2.spectra.name:mz81.070013016174rt485.129502;Database:monaDatabase0.0.1;Dataset.index:10,2
M83T371,83.04921342,371.0945793,mz83.049224853516rt369.294816,1,Compound.name:Senecioic acid;CAS.ID:541-47-9;HMDB.ID:HMDB00509;KEGG.ID:NA;Lab.ID:n00062;Adduct:(M+H-H2O)+;mz.error:0.2371338;mz.match.score:0.999955;RT.error:NA;RT.match.score:NA;CE:35;SS:0.6247033;Total.score:0.7654227;MS2.spectra.name:mz83.049224853516rt369.294816;Database:nistDatabase0.0.1;Dataset.index:11,2
M83T102,83.04921851,102.3473053,mz83.04923248291rt102.87381,1,Compound.name:Senecioic acid;CAS.ID:541-47-9;HMDB.ID:HMDB00509;KEGG.ID:NA;Lab.ID:n00062;Adduct:(M+H-H2O)+;mz.error:0.2562073;mz.match.score:0.9999475;RT.error:NA;RT.match.score:NA;CE:20;SS:0.5541865;Total.score:0.7213469;MS2.spectra.name:mz83.04923248291rt102.87381;Database:nistDatabase0.0.1;Dataset.index:11,2
M85T580,85.02789407,580.0552979,mz85.028526306152rt555.044916,1,Compound.name:3-Butynoic acid;CAS.ID:2345-51-9;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:S0373;Adduct:(M+H)+;mz.error:0.2407654;mz.match.score:0.9999536;RT.error:NA;RT.match.score:NA;CE:10;SS:0.5313387;Total.score:0.7070693;MS2.spectra.name:mz85.028526306152rt555.044916;Database:nistDatabase0.0.1;Dataset.index:5,2
M85T320,85.02852404,320.0405884,mz85.028537938851rt315.811416,1,Compound.name:3-Butynoic acid;CAS.ID:2345-51-9;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:S0373;Adduct:(M+H)+;mz.error:0.2698471;mz.match.score:0.9999417;RT.error:NA;RT.match.score:NA;CE:10;SS:0.534233;Total.score:0.7088738;MS2.spectra.name:mz85.028537938851rt315.811416;Database:nistDatabase0.0.1;Dataset.index:11,2
M87T670,87.04408608,670.2230225,mz87.044168946365rt666.91248,1,Compound.name:Diacetyl;CAS.ID:431-03-8;HMDB.ID:HMDB03407;KEGG.ID:NA;Lab.ID:L0440;Adduct:(M+H)+;mz.error:0.2223659;mz.match.score:0.9999604;RT.error:NA;RT.match.score:NA;CE:10;SS:0.6958112;Total.score:0.8098671;MS2.spectra.name:mz87.044168946365rt666.91248;Database:nistDatabase0.0.1;Dataset.index:11,2
M87T253,87.04418044,253.1493759,mz87.044151306152rt194.055972,1,Compound.name:Crotonic acid;CAS.ID:107-93-7;HMDB.ID:HMDB10720;KEGG.ID:NA;Lab.ID:NO07205;Adduct:(M+H)+;mz.error:0.1282654;mz.match.score:0.9999868;RT.error:NA;RT.match.score:NA;CE:5;SS:0.7131909;Total.score:0.8207394;MS2.spectra.name:mz87.044151306152rt194.055972;Database:orbitrapDatabase0.0.1;Dataset.index:12,2
M92T349,92.04959141,348.5748291,mz92.0496108249rt347.360562,1,Compound.name:2-Aminophenol;CAS.ID:95-55-6;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07276;Adduct:(M+H-H2O)+;mz.error:0.2770622;mz.match.score:0.9999386;RT.error:NA;RT.match.score:NA;CE:20;SS:0.619315;Total.score:0.7620488;MS2.spectra.name:mz92.0496108249rt347.360562;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M95T399,95.04914843,398.5867615,mz95.049303508742rt355.7937,1,Compound.name:Phenol;CAS.ID:108-95-2;HMDB.ID:NA;KEGG.ID:D01960;Lab.ID:MONA_18506;Adduct:(M+H)+;mz.error:0.3467419;mz.match.score:0.9999038;RT.error:NA;RT.match.score:NA;CE:10;SS:0.682574;Total.score:0.8015727;MS2.spectra.name:mz95.049303508742rt355.7937;Database:monaDatabase0.0.1;Dataset.index:4,2
M95T120,95.04918572,119.5737381,mz95.049285888672rt131.963838,1,Compound.name:Phenol;CAS.ID:108-95-2;HMDB.ID:NA;KEGG.ID:D01960;Lab.ID:MONA_18506;Adduct:(M+H)+;mz.error:0.3026917;mz.match.score:0.9999267;RT.error:NA;RT.match.score:NA;CE:10;SS:0.6679573;Total.score:0.7924458;MS2.spectra.name:mz95.049285888672rt131.963838;Database:monaDatabase0.0.1;Dataset.index:4,2
M97T491,97.0648813,491.0478363,mz97.064924350345rt513.852006,1,"Compound.name:2,5-Hexanedione;CAS.ID:110-13-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07321;Adduct:(M+H-H2O)+;mz.error:0.3108759;mz.match.score:0.9999227;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7377033;Total.score:0.8360356;MS2.spectra.name:mz97.064924350345rt513.852006;Database:orbitrapDatabase0.0.1;Dataset.index:12",2
M97T437,97.06484532,436.5296326,mz97.064987182617rt435.658236,1,"Compound.name:2,5-Hexanedione;CAS.ID:110-13-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07321;Adduct:(M+H-H2O)+;mz.error:0.4679565;mz.match.score:0.9998248;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7448836;Total.score:0.8404866;MS2.spectra.name:mz97.064987182617rt435.658236;Database:orbitrapDatabase0.0.1;Dataset.index:6",2
M99T122_1,98.9842352,122.010437,mz98.984252929688rt98.047788,1,Compound.name:Ortophosphate;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_18504;Adduct:(M+H)+;mz.error:0.1443092;mz.match.score:0.9999833;RT.error:NA;RT.match.score:NA;CE:10;SS:0.7167698;Total.score:0.8229749;MS2.spectra.name:mz98.984252929688rt98.047788;Database:monaDatabase0.0.1;Dataset.index:10,2
M100T223,100.0757624,222.8954773,mz100.075749099823rt219.391236,1,Compound.name:N-Methyl-2-pyrrolidone;CAS.ID:872-50-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_844;Adduct:(M+H)+;mz.error:0.09774956;mz.match.score:0.9999924;RT.error:NA;RT.match.score:NA;CE:35  (nominal);SS:0.7073482;Total.score:0.8170898;MS2.spectra.name:mz100.075749099823rt219.391236;Database:massbankDatabase0.0.1;Dataset.index:8,2
M100T325,100.075767,325.0346985,mz100.075601316209rt315.634488,1,Compound.name:N-Methyl-2-pyrrolidone;CAS.ID:872-50-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_844;Adduct:(M+H)+;mz.error:0.2717095;mz.match.score:0.9999409;RT.error:NA;RT.match.score:NA;CE:35  (nominal);SS:0.7024509;Total.score:0.8140097;MS2.spectra.name:mz100.075601316209rt315.634488;Database:massbankDatabase0.0.1;Dataset.index:2,2
M100T448,100.0756872,448.0163269,mz100.075759887695rt447.48909,1,Compound.name:N-Methyl-2-pyrrolidone;CAS.ID:872-50-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_844;Adduct:(M+H)+;mz.error:0.1247192;mz.match.score:0.9999876;RT.error:NA;RT.match.score:NA;CE:35  (nominal);SS:0.7102858;Total.score:0.818924;MS2.spectra.name:mz100.075759887695rt447.48909;Database:massbankDatabase0.0.1;Dataset.index:8,2
M100T572,100.0757635,572.3317261,mz100.075775146484rt528.781518,1,Compound.name:N-Methyl-2-pyrrolidone;CAS.ID:872-50-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_844;Adduct:(M+H)+;mz.error:0.1628662;mz.match.score:0.9999788;RT.error:NA;RT.match.score:NA;CE:35  (nominal);SS:0.6771443;Total.score:0.7982072;MS2.spectra.name:mz100.075775146484rt528.781518;Database:massbankDatabase0.0.1;Dataset.index:8,2
M101T334,101.0598625,334.287262,mz101.059829711914rt275.868774,1,Compound.name:Senecioic acid;CAS.ID:541-47-9;HMDB.ID:HMDB00509;KEGG.ID:NA;Lab.ID:n00062;Adduct:(M+H)+;mz.error:0.2492798;mz.match.score:0.9999503;RT.error:NA;RT.match.score:NA;CE:30;SS:0.6097131;Total.score:0.756052;MS2.spectra.name:mz101.059829711914rt275.868774;Database:nistDatabase0.0.1;Dataset.index:11,2
M102T122,102.0550727,122.1118164,mz102.055068969727rt118.578336,1,Compound.name:L-.alpha.-Amino-.gamma.-butyrolactone;CAS.ID:2185-02-6;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07224;Adduct:(M+H)+;mz.error:0.1724243;mz.match.score:0.9999762;RT.error:NA;RT.match.score:NA;CE:5;SS:0.5215249;Total.score:0.7009441;MS2.spectra.name:mz102.055068969727rt118.578336;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M103T526,103.0543104,526.0615857,mz103.054374694824rt525.073032,1,Compound.name:Phenylacetaldehyde;CAS.ID:122-78-1;HMDB.ID:HMDB06236;KEGG.ID:C00601;Lab.ID:NO07389;Adduct:(M+H-H2O)+;mz.error:0.4367371;mz.match.score:0.9998474;RT.error:NA;RT.match.score:NA;CE:10;SS:0.5763345;Total.score:0.7351518;MS2.spectra.name:mz103.054374694824rt525.073032;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M106T126,106.0497608,126.4854927,mz106.049811462899rt116.509074,1,Compound.name:Serine;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15258;Adduct:(M+H)+;mz.error:0.2040528;mz.match.score:0.9999667;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7375859;Total.score:0.8359787;MS2.spectra.name:mz106.049811462899rt116.509074;Database:monaDatabase0.0.1;Dataset.index:4,2
M110T131,110.060193,131.3861694,mz110.060233072378rt103.416696,1,Compound.name:4-Aminophenol;CAS.ID:123-30-8;HMDB.ID:HMDB01169;KEGG.ID:C02372;Lab.ID:shen_1732_HMDB01169;Adduct:(M+H)+;mz.error:0.4230534;mz.match.score:0.9998568;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.7505642;Total.score:0.8440489;MS2.spectra.name:mz110.060233072378rt103.416696;Database:hmdbDatabase0.0.1;Dataset.index:1,2
M110T392,110.0601323,392.4882813,mz110.060183893242rt366.116694,1,Compound.name:4-Aminophenol;CAS.ID:51-78-5;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_559;Adduct:(M+H)+;mz.error:0.3097331;mz.match.score:0.9999233;RT.error:NA;RT.match.score:NA;CE:35  (nominal);SS:0.7283769;Total.score:0.8302068;MS2.spectra.name:mz110.060183893242rt366.116694;Database:massbankDatabase0.0.1;Dataset.index:8,2
M111T113,111.0442961,113.0636902,mz111.044219970703rt122.737962,1,Compound.name:Catechol;CAS.ID:120-80-9;HMDB.ID:NA;KEGG.ID:C00090;Lab.ID:MONA_8979;Adduct:(M+H)+;mz.error:0.3513468;mz.match.score:0.9999012;RT.error:NA;RT.match.score:NA;CE:20;SS:0.5052432;Total.score:0.6907399;MS2.spectra.name:mz111.044219970703rt122.737962;Database:monaDatabase0.0.1;Dataset.index:4,2
M111T516,111.0805425,516.2468872,mz111.080419974788rt507.513582,1,Compound.name:.gamma.-Heptalactone;CAS.ID:105-21-5;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07461;Adduct:(M+H-H2O)+;mz.error:0.04993697;mz.match.score:0.999998;RT.error:NA;RT.match.score:NA;CE:15;SS:0.4461347;Total.score:0.6538334;MS2.spectra.name:mz111.080419974788rt507.513582;Database:orbitrapDatabase0.0.1;Dataset.index:12,2
M111T367,111.0442545,367.408783,mz111.044197938845rt319.125024,1,"Compound.name:1,3-Benzenediol;CAS.ID:108-46-3;HMDB.ID:HMDB32037;KEGG.ID:NA;Lab.ID:n00124;Adduct:(M+H)+;mz.error:0.2948471;mz.match.score:0.9999305;RT.error:NA;RT.match.score:NA;CE:20;SS:0.6851774;Total.score:0.8032098;MS2.spectra.name:mz111.044197938845rt319.125024;Database:nistDatabase0.0.1;Dataset.index:11",2
M112T207,112.0507197,207.3719711,mz112.050750732422rt195.751872,1,Compound.name:Cytosine;CAS.ID:71-30-7;HMDB.ID:HMDB00630;KEGG.ID:NA;Lab.ID:S0041;Adduct:(M+H)+;mz.error:0.4768311;mz.match.score:0.9998181;RT.error:NA;RT.match.score:NA;CE:10;SS:0.6008044;Total.score:0.7504345;MS2.spectra.name:mz112.050750732422rt195.751872;Database:nistDatabase0.0.1;Dataset.index:5,2
M112T306,112.0507192,306.3987732,mz112.050704956055rt303.514686,1,Compound.name:Cytosine;CAS.ID:71-30-7;HMDB.ID:HMDB00630;KEGG.ID:NA;Lab.ID:S0041;Adduct:(M+H)+;mz.error:0.3623901;mz.match.score:0.9998949;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7876665;Total.score:0.8672522;MS2.spectra.name:mz112.050704956055rt303.514686;Database:nistDatabase0.0.1;Dataset.index:11,2
M112T437,112.050696,436.534729,mz112.050689697266rt429.195726,1,Compound.name:Cytosine;CAS.ID:71-30-7;HMDB.ID:HMDB00630;KEGG.ID:NA;Lab.ID:S0041;Adduct:(M+H)+;mz.error:0.3242432;mz.match.score:0.9999159;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7489782;Total.score:0.8430798;MS2.spectra.name:mz112.050689697266rt429.195726;Database:nistDatabase0.0.1;Dataset.index:11,2
M113T1060,113.0234336,1060.240601,mz113.023506164551rt1118.40834,1,Compound.name:2-Furancarboxylic acid;CAS.ID:88-14-2;HMDB.ID:HMDB00617;KEGG.ID:C01546;Lab.ID:NO07297;Adduct:(M+H)+;mz.error:0.5154114;mz.match.score:0.9997875;RT.error:NA;RT.match.score:NA;CE:5;SS:0.6146917;Total.score:0.7591026;MS2.spectra.name:mz113.023506164551rt1118.40834;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M113T379,113.0597756,379.3795471,mz113.059852600098rt371.01183,1,Compound.name:Mevalonic acid;CAS.ID:150-97-0;HMDB.ID:HMDB00227;KEGG.ID:NA;Lab.ID:S0218;Adduct:(M+H-2H2O)+;mz.error:0.4815002;mz.match.score:0.9998145;RT.error:NA;RT.match.score:NA;CE:25;SS:0.43341;Total.score:0.6458117;MS2.spectra.name:mz113.059852600098rt371.01183;Database:nistDatabase0.0.1;Dataset.index:5,2
M114T110,114.0552122,110.1259995,mz114.055191040039rt152.328192,1,Compound.name:5-Aminolevulinic acid;CAS.ID:106-60-5;HMDB.ID:HMDB01149;KEGG.ID:C00430;Lab.ID:NO07497;Adduct:(M+H-H2O)+;mz.error:0.7276001;mz.match.score:0.9995766;RT.error:NA;RT.match.score:NA;CE:10;SS:0.5950514;Total.score:0.7467484;MS2.spectra.name:mz114.055191040039rt152.328192;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M115T1016,115.0502823,1016.411621,mz115.050308227539rt1066.20654,1,Compound.name:(S)-5-Methylhydantoin;CAS.ID:40856-73-3;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07316;Adduct:(M+H)+;mz.error:0.2705688;mz.match.score:0.9999414;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4284336;Total.score:0.642749;MS2.spectra.name:mz115.050308227539rt1066.20654;Database:orbitrapDatabase0.0.1;Dataset.index:12,2
M116T108,116.070649,108.4308205,mz116.070724487305rt132.809592,1,Compound.name:Proline;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_16165;Adduct:(M+H)+;mz.error:0.2362183;mz.match.score:0.9999554;RT.error:NA;RT.match.score:NA;CE:35.0;SS:0.575579;Total.score:0.7347202;MS2.spectra.name:mz116.070724487305rt132.809592;Database:massbankDatabase0.0.1;Dataset.index:2,2
M116T188,116.0707096,187.5054932,mz116.070762635776rt170.995728,1,Compound.name:Proline;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_16165;Adduct:(M+H)+;mz.error:0.3315894;mz.match.score:0.999912;RT.error:NA;RT.match.score:NA;CE:35.0;SS:0.5655731;Total.score:0.7284502;MS2.spectra.name:mz116.070762635776rt170.995728;Database:massbankDatabase0.0.1;Dataset.index:2,2
M118T276,118.0652153,276.0765076,mz118.065248279103rt330.84456,1,Compound.name:Indole;CAS.ID:120-72-9;HMDB.ID:HMDB00738;KEGG.ID:NA;Lab.ID:S0044;Adduct:(M+H)+;mz.error:0.2456978;mz.match.score:0.9999517;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7283483;Total.score:0.8301996;MS2.spectra.name:mz118.065248279103rt330.84456;Database:nistDatabase0.0.1;Dataset.index:5,2
M118T404,118.065134,404.1956482,mz118.065154493252rt420.634458,1,Compound.name:Indole;CAS.ID:120-72-9;HMDB.ID:HMDB00738;KEGG.ID:C00463;Lab.ID:shen_1287_HMDB00738;Adduct:(M+H)+;mz.error:0.01316063;mz.match.score:0.9999999;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6499257;Total.score:0.7812035;MS2.spectra.name:mz118.065154493252rt420.634458;Database:hmdbDatabase0.0.1;Dataset.index:7,2
M119T123,119.0492953,122.7239838,mz119.049308115223rt131.427444,1,Compound.name:Phenylacetic acid;CAS.ID:103-82-2;HMDB.ID:HMDB00209;KEGG.ID:C07086;Lab.ID:M0055;Adduct:(M+H-H2O)+;mz.error:0.5202881;mz.match.score:0.9997835;RT.error:NA;RT.match.score:NA;CE:30;SS:0.5974275;Total.score:0.748311;MS2.spectra.name:mz119.049308115223rt131.427444;Database:metlinDatabase0.0.1;Dataset.index:9,2
