name,mz,rt,MS2.spectrum.name,Candidate.number,Level,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database
M72T373,72.08080277,373.4211426,mz72.080955652193rt392.227716,1,2,Pyrrolidine,123-75-1,HMDB31641,NA,n00006,(M+H)+,0.3891305,0.9998789,NA,NA,40,0.4067175,0.629153,nistDatabase0.0.1
M76T1160,76.04743651,1159.890625,mz76.047454833984rt1172.45622,1,2,Glycine,56-40-6,HMDB00123,C00037,shen_283_HMDB00123,(M+H)+,20.31606,0.7187843,NA,NA,Unknown_1,0.6815393,0.6955062,hmdbDatabase0.0.1
M76T1062,76.0474565,1062.038086,mz76.047462463379rt1102.31592,1,2,Glycine,56-40-6,HMDB00123,C00037,shen_283_HMDB00123,(M+H)+,20.33514,0.7183386,NA,NA,Unknown_1,0.6861256,0.6982055,hmdbDatabase0.0.1
M76T525,76.04745186,525.1044922,mz76.047485351563rt472.10325,1,2,Glycine,56-40-6,HMDB00123,C00037,shen_283_HMDB00123,(M+H)+,20.39236,0.7170006,NA,NA,Unknown_1,0.6618908,0.682557,hmdbDatabase0.0.1
M76T127,76.07571088,127.4130554,mz76.07576751709rt96.12669,1,2,Trimethylamine N-oxide,NA,NA,NA,MONA_15314,(M+H)+,0.1340227,0.9999856,NA,NA,HCD (NCE 20-30-40%),0.7262342,0.828891,monaDatabase0.0.1
M76T669,76.04746736,669.4080811,mz76.047485351563rt633.6882,1,2,Glycine,56-40-6,HMDB00123,C00037,shen_283_HMDB00123,(M+H)+,20.39236,0.7170006,NA,NA,Unknown_1,0.6709911,0.6882447,hmdbDatabase0.0.1
M76T879,76.04746334,878.664856,mz76.047462463379rt909.4023,1,2,Glycine,56-40-6,HMDB00123,C00037,shen_283_HMDB00123,(M+H)+,20.33514,0.7183386,NA,NA,Unknown_1,0.6845399,0.6972144,hmdbDatabase0.0.1
M77T399,77.0385453,399.4291382,mz77.038650512695rt399.258582,1,2,Phenol,108-95-2,HMDB00228,NA,S0142,(M+H-H2O)+,0.2012817,0.9999676,NA,NA,40,0.7088538,0.8180215,nistDatabase0.0.1
M79T130,79.02127696,129.9075623,mz79.021301269531rt124.93482,1,2,Dimethyl sulfoxide,NA,NA,NA,MONA_14821,(M+H)+,0.1636438,0.9999786,NA,NA,HCD (NCE 20-30-40%),0.7557001,0.8473045,monaDatabase0.0.1
M81T663,81.06985863,663.3360596,mz81.070006706662rt697.46472,1,2,4-Methylvaleric acid,646-07-1,NA,NA,MONA_18409,(M+H-2H2O)+,0.4427067,0.9998432,NA,NA,10,0.4466239,0.6540811,monaDatabase0.0.1
M81T779,81.06975998,778.8272095,mz81.069966736128rt796.7178,1,2,4-Methylvaleric acid,646-07-1,NA,NA,MONA_18409,(M+H-2H2O)+,0.3427803,0.999906,NA,NA,10,0.4456858,0.6535184,monaDatabase0.0.1
M81T485,81.06992797,485.2506104,mz81.070013016174rt485.129502,1,2,4-Methylvaleric acid,646-07-1,NA,NA,MONA_18409,(M+H-2H2O)+,0.4584804,0.9998319,NA,NA,10,0.4425213,0.6515128,monaDatabase0.0.1
M83T371,83.04921342,371.0945793,mz83.049224853516rt369.294816,1,2,Senecioic acid,541-47-9,HMDB00509,NA,n00062,(M+H-H2O)+,0.2371338,0.999955,NA,NA,35,0.6247033,0.7654227,nistDatabase0.0.1
M83T102,83.04921851,102.3473053,mz83.04923248291rt102.87381,1,2,Senecioic acid,541-47-9,HMDB00509,NA,n00062,(M+H-H2O)+,0.2562073,0.9999475,NA,NA,20,0.5541865,0.7213469,nistDatabase0.0.1
M85T580,85.02789407,580.0552979,mz85.028526306152rt555.044916,1,2,3-Butynoic acid,2345-51-9,NA,NA,S0373,(M+H)+,0.2407654,0.9999536,NA,NA,10,0.5313387,0.7070693,nistDatabase0.0.1
M85T320,85.02852404,320.0405884,mz85.028537938851rt315.811416,1,2,3-Butynoic acid,2345-51-9,NA,NA,S0373,(M+H)+,0.2698471,0.9999417,NA,NA,10,0.534233,0.7088738,nistDatabase0.0.1
M87T670,87.04408608,670.2230225,mz87.044168946365rt666.91248,1,2,Diacetyl,431-03-8,HMDB03407,NA,L0440,(M+H)+,0.2223659,0.9999604,NA,NA,10,0.6958112,0.8098671,nistDatabase0.0.1
M87T253,87.04418044,253.1493759,mz87.044151306152rt194.055972,1,2,Crotonic acid,107-93-7,HMDB10720,NA,NO07205,(M+H)+,0.1282654,0.9999868,NA,NA,5,0.7131909,0.8207394,orbitrapDatabase0.0.1
M92T349,92.04959141,348.5748291,mz92.0496108249rt347.360562,1,2,2-Aminophenol,95-55-6,NA,NA,NO07276,(M+H-H2O)+,0.2770622,0.9999386,NA,NA,20,0.619315,0.7620488,orbitrapDatabase0.0.1
M95T399,95.04914843,398.5867615,mz95.049303508742rt355.7937,1,2,Phenol,108-95-2,NA,D01960,MONA_18506,(M+H)+,0.3467419,0.9999038,NA,NA,10,0.682574,0.8015727,monaDatabase0.0.1
M95T120,95.04918572,119.5737381,mz95.049285888672rt131.963838,1,2,Phenol,108-95-2,NA,D01960,MONA_18506,(M+H)+,0.3026917,0.9999267,NA,NA,10,0.6679573,0.7924458,monaDatabase0.0.1
M97T491,97.0648813,491.0478363,mz97.064924350345rt513.852006,1,2,"2,5-Hexanedione",110-13-4,NA,NA,NO07321,(M+H-H2O)+,0.3108759,0.9999227,NA,NA,15,0.7377033,0.8360356,orbitrapDatabase0.0.1
M97T437,97.06484532,436.5296326,mz97.064987182617rt435.658236,1,2,"2,5-Hexanedione",110-13-4,NA,NA,NO07321,(M+H-H2O)+,0.4679565,0.9998248,NA,NA,15,0.7448836,0.8404866,orbitrapDatabase0.0.1
M99T122_1,98.9842352,122.010437,mz98.984252929688rt98.047788,1,2,Ortophosphate,NA,NA,NA,MONA_18504,(M+H)+,0.1443092,0.9999833,NA,NA,10,0.7167698,0.8229749,monaDatabase0.0.1
M100T223,100.0757624,222.8954773,mz100.075749099823rt219.391236,1,2,N-Methyl-2-pyrrolidone,872-50-4,NA,NA,MassBank_844,(M+H)+,0.09774956,0.9999924,NA,NA,35  (nominal),0.7073482,0.8170898,massbankDatabase0.0.1
M100T325,100.075767,325.0346985,mz100.075601316209rt315.634488,1,2,N-Methyl-2-pyrrolidone,872-50-4,NA,NA,MassBank_844,(M+H)+,0.2717095,0.9999409,NA,NA,35  (nominal),0.7024509,0.8140097,massbankDatabase0.0.1
M100T448,100.0756872,448.0163269,mz100.075759887695rt447.48909,1,2,N-Methyl-2-pyrrolidone,872-50-4,NA,NA,MassBank_844,(M+H)+,0.1247192,0.9999876,NA,NA,35  (nominal),0.7102858,0.818924,massbankDatabase0.0.1
M100T572,100.0757635,572.3317261,mz100.075775146484rt528.781518,1,2,N-Methyl-2-pyrrolidone,872-50-4,NA,NA,MassBank_844,(M+H)+,0.1628662,0.9999788,NA,NA,35  (nominal),0.6771443,0.7982072,massbankDatabase0.0.1
M101T334,101.0598625,334.287262,mz101.059829711914rt275.868774,1,2,Senecioic acid,541-47-9,HMDB00509,NA,n00062,(M+H)+,0.2492798,0.9999503,NA,NA,30,0.6097131,0.756052,nistDatabase0.0.1
M102T122,102.0550727,122.1118164,mz102.055068969727rt118.578336,1,2,L-.alpha.-Amino-.gamma.-butyrolactone,2/6/2185,NA,NA,NO07224,(M+H)+,0.1724243,0.9999762,NA,NA,5,0.5215249,0.7009441,orbitrapDatabase0.0.1
M103T526,103.0543104,526.0615857,mz103.054374694824rt525.073032,1,2,Phenylacetaldehyde,122-78-1,HMDB06236,C00601,NO07389,(M+H-H2O)+,0.4367371,0.9998474,NA,NA,10,0.5763345,0.7351518,orbitrapDatabase0.0.1
M106T126,106.0497608,126.4854927,mz106.049811462899rt116.509074,1,2,Serine,NA,NA,NA,MONA_15258,(M+H)+,0.2040528,0.9999667,NA,NA,HCD (NCE 20-30-40%),0.7375859,0.8359787,monaDatabase0.0.1
M110T131,110.060193,131.3861694,mz110.060233072378rt103.416696,1,2,4-Aminophenol,123-30-8,HMDB01169,C02372,shen_1732_HMDB01169,(M+H)+,0.4230534,0.9998568,NA,NA,Unknown_1,0.7505642,0.8440489,hmdbDatabase0.0.1
M110T392,110.0601323,392.4882813,mz110.060183893242rt366.116694,1,2,4-Aminophenol,51-78-5,NA,NA,MassBank_559,(M+H)+,0.3097331,0.9999233,NA,NA,35  (nominal),0.7283769,0.8302068,massbankDatabase0.0.1
M111T113,111.0442961,113.0636902,mz111.044219970703rt122.737962,1,2,Catechol,120-80-9,NA,C00090,MONA_8979,(M+H)+,0.3513468,0.9999012,NA,NA,20,0.5052432,0.6907399,monaDatabase0.0.1
M111T516,111.0805425,516.2468872,mz111.080419974788rt507.513582,1,2,.gamma.-Heptalactone,105-21-5,NA,NA,NO07461,(M+H-H2O)+,0.04993697,0.999998,NA,NA,15,0.4461347,0.6538334,orbitrapDatabase0.0.1
M111T367,111.0442545,367.408783,mz111.044197938845rt319.125024,1,2,"1,3-Benzenediol",108-46-3,HMDB32037,NA,n00124,(M+H)+,0.2948471,0.9999305,NA,NA,20,0.6851774,0.8032098,nistDatabase0.0.1
M112T207,112.0507197,207.3719711,mz112.050750732422rt195.751872,1,2,Cytosine,71-30-7,HMDB00630,NA,S0041,(M+H)+,0.4768311,0.9998181,NA,NA,10,0.6008044,0.7504345,nistDatabase0.0.1
M112T306,112.0507192,306.3987732,mz112.050704956055rt303.514686,1,2,Cytosine,71-30-7,HMDB00630,NA,S0041,(M+H)+,0.3623901,0.9998949,NA,NA,15,0.7876665,0.8672522,nistDatabase0.0.1
M112T437,112.050696,436.534729,mz112.050689697266rt429.195726,1,2,Cytosine,71-30-7,HMDB00630,NA,S0041,(M+H)+,0.3242432,0.9999159,NA,NA,15,0.7489782,0.8430798,nistDatabase0.0.1
M113T1060,113.0234336,1060.240601,mz113.023506164551rt1118.40834,1,2,2-Furancarboxylic acid,88-14-2,HMDB00617,C01546,NO07297,(M+H)+,0.5154114,0.9997875,NA,NA,5,0.6146917,0.7591026,orbitrapDatabase0.0.1
M113T379,113.0597756,379.3795471,mz113.059852600098rt371.01183,1,2,Mevalonic acid,150-97-0,HMDB00227,NA,S0218,(M+H-2H2O)+,0.4815002,0.9998145,NA,NA,25,0.43341,0.6458117,nistDatabase0.0.1
M114T110,114.0552122,110.1259995,mz114.055191040039rt152.328192,1,2,5-Aminolevulinic acid,106-60-5,HMDB01149,C00430,NO07497,(M+H-H2O)+,0.7276001,0.9995766,NA,NA,10,0.5950514,0.7467484,orbitrapDatabase0.0.1
M115T1016,115.0502823,1016.411621,mz115.050308227539rt1066.20654,1,2,(S)-5-Methylhydantoin,40856-73-3,NA,NA,NO07316,(M+H)+,0.2705688,0.9999414,NA,NA,10,0.4284336,0.642749,orbitrapDatabase0.0.1
M116T108,116.070649,108.4308205,mz116.070724487305rt132.809592,1,2,Proline,NA,NA,NA,MassBank_16165,(M+H)+,0.2362183,0.9999554,NA,NA,35,0.575579,0.7347202,massbankDatabase0.0.1
M116T188,116.0707096,187.5054932,mz116.070762635776rt170.995728,1,2,Proline,NA,NA,NA,MassBank_16165,(M+H)+,0.3315894,0.999912,NA,NA,35,0.5655731,0.7284502,massbankDatabase0.0.1
M118T276,118.0652153,276.0765076,mz118.065248279103rt330.84456,1,2,Indole,120-72-9,HMDB00738,NA,S0044,(M+H)+,0.2456978,0.9999517,NA,NA,15,0.7283483,0.8301996,nistDatabase0.0.1
M118T404,118.065134,404.1956482,mz118.065154493252rt420.634458,1,2,Indole,120-72-9,HMDB00738,C00463,shen_1287_HMDB00738,(M+H)+,0.01316063,0.9999999,NA,NA,Unknown_1,0.6499257,0.7812035,hmdbDatabase0.0.1
M119T123,119.0492953,122.7239838,mz119.049308115223rt131.427444,1,2,Phenylacetic acid,103-82-2,HMDB00209,C07086,M0055,(M+H-H2O)+,0.5202881,0.9997835,NA,NA,30,0.5974275,0.748311,metlinDatabase0.0.1
M120T354,120.0808448,354.2110291,mz120.081001281738rt298.748046,1,2,2-Hydroxyphenethylamine,7568-93-6,HMDB01065,NA,n00285,(M+H-H2O)+,0.6032043,0.999709,NA,NA,20,0.7215216,0.8258419,nistDatabase0.0.1
M120T296,120.0446021,295.6047058,mz120.044563293457rt345.267324,1,2,Anthranilic acid,118-92-3,HMDB01123,C00108,NO07609,(M+H-H2O)+,0.4082336,0.9998667,NA,NA,20,0.7623325,0.8514078,orbitrapDatabase0.0.1
M120T135,120.0656271,134.9471893,mz120.065690057814rt99.837192,1,2,(2-Mercaptoethyl)guanidine,1190-74-5,NA,NA,NO07387,(M+H)+,16.72514,0.7994875,NA,NA,5,0.4013279,0.5506377,orbitrapDatabase0.0.1
M121T144,121.0648252,143.8466339,mz121.064977704478rt159.999966,1,2,Phenylacetaldehyde,NA,NA,NA,MONA_15172,(M+H)+,0.4070712,0.9998674,NA,NA,HCD (NCE 20-30-40%),0.7384192,0.8364623,monaDatabase0.0.1
M122T603,122.06007,602.5517578,mz122.060194080186rt549.679158,1,2,Benzamide,55-21-0,HMDB04461,C09815,shen_3015_HMDB04461,(M+H)+,0.325573,0.9999152,NA,NA,Unknown_1,0.7393317,0.8370505,hmdbDatabase0.0.1
M122T796,122.0601189,795.7219543,mz122.059931338736rt745.79844,1,2,Benzamide,55-21-0,HMDB04461,C09815,shen_3015_HMDB04461,(M+H)+,0.3312807,0.9999122,NA,NA,Unknown_1,0.738304,0.8364071,hmdbDatabase0.0.1
M123T299,123.0442094,299.0108948,mz123.044177600833rt355.872186,1,2,Benzoic acid,NA,NA,NA,MONA_14728,(M+H)+,0.2454221,0.9999518,NA,NA,HCD (NCE 20-30-40%),0.7532464,0.8457609,monaDatabase0.0.1
M123T230,123.0553829,229.9646759,mz123.055452215376rt207.660258,1,2,Niacinamide,98-92-0,HMDB01406,C00153,shen_1900_HMDB01406,(M+H)+,0.3484784,0.9999029,NA,NA,Unknown_1,0.7398646,0.837379,hmdbDatabase0.0.1
M125T602,125.0961974,602.4520874,mz125.096286581698rt584.754054,1,2,.gamma.-Octalactone,104-50-7,NA,NA,NO07688,(M+H-H2O)+,0.4664542,0.999826,NA,NA,10,0.4085086,0.6302526,orbitrapDatabase0.0.1
M125T1006,125.0390212,1005.710388,mz125.039039611816rt998.27826,1,2,Pyrazine-2-carboxylic acid,98-97-5,HMDB59734,NA,NO07411,(M+H)+,11.09903,0.9061497,NA,NA,10,0.474756,0.6365286,orbitrapDatabase0.0.1
M127T219,127.0391343,219.0363617,mz127.03914642334rt212.481864,1,2,Maltol,118-71-8,HMDB30776,C11918,NO07430,(M+H)+,0.3660583,0.9998928,NA,NA,20,0.7213864,0.8258263,orbitrapDatabase0.0.1
M128T458,128.1070973,458.2773285,mz128.10692709096rt477.699672,1,2,DL-Norleucine methyl ester,51220-79-2,NA,NA,NO07721,(M+H-H2O)+,0.1822726,0.9999734,NA,NA,15,0.5913418,0.7445787,orbitrapDatabase0.0.1
M129T261,129.0547218,260.7841492,mz129.054824829102rt264.806274,1,2,3-Methylglutaric acid,626-51-7,HMDB00752,NA,S0170,(M+H-H2O)+,0.5370728,0.9997693,NA,NA,10,0.6022727,0.7513339,nistDatabase0.0.1
M129T555,129.0659343,555.2340393,mz129.065902709961rt591.707172,1,2,3-Methylpyrazole,1453-58-3,NA,NA,MassBank_436,(M+HCOO+2H)+,0.006774902,1,NA,NA,35  (nominal),0.6585495,0.7865934,massbankDatabase0.0.1
M129T450,129.0661037,450.0523071,mz129.065780639648rt415.954512,1,2,3-Methylpyrazole,1453-58-3,NA,NA,MONA_11041,(M+HCOO+2H)+,0.2938809,0.9999309,NA,NA,35  (nominal),0.6637168,0.7897971,monaDatabase0.0.1
M130T412,130.0653053,412.4223785,mz130.065033957922rt438.773466,1,2,Quinoline,91-22-5,HMDB33731,C06413,shen_5074_HMDB33731,(M+H)+,0.2881777,0.9999336,NA,NA,Unknown_6,0.588805,0.7429782,hmdbDatabase0.0.1
M130T307,130.0651272,307.3657227,mz130.065338134766rt332.786424,1,2,Quinoline,91-22-5,HMDB33731,C06413,shen_5074_HMDB33731,(M+H)+,0.4722644,0.9998216,NA,NA,Unknown_6,0.5878569,0.7423437,hmdbDatabase0.0.1
M130T520,130.0653788,519.6225281,mz130.065277099609rt568.069542,1,2,Quinoline,91-22-5,HMDB33731,C06413,shen_5073_HMDB33731,(M+H)+,0.3196765,0.9999182,NA,NA,Unknown_6,0.7412009,0.8382199,hmdbDatabase0.0.1
M132T111,132.0766784,110.6678619,mz132.076934814453rt94.33959,1,2,Creatine,57-00-1,HMDB00064,C00300,NO07508,(M+H)+,0.3370361,0.9999091,NA,NA,15,0.772967,0.8580703,orbitrapDatabase0.0.1
M134T351,134.0631761,350.7255554,mz134.059872356402rt365.847864,1,2,Oxindole,59-48-3,NA,C12312,M0506,(M+H)+,0.569109,0.9997409,NA,NA,20,0.746103,0.8412172,metlinDatabase0.0.1
M135T495,135.0805981,495.0693054,mz135.080266753105rt537.485334,1,2,"3,4-Dimethylbenzaldehyde",5973-71-7,NA,NA,NO07556,(M+H)+,0.5831172,0.999728,NA,NA,5,0.5366303,0.7102919,orbitrapDatabase0.0.1
M135T599,135.1168323,598.9974976,mz135.116723747747rt626.43354,1,2,Perillyl alcohol,536-59-4,HMDB03634,C02452,M1550,(M+H-H2O)+,0.1906306,0.9999709,NA,NA,20,0.6100541,0.7562729,metlinDatabase0.0.1
M135T687,135.1168348,687.236145,mz135.116889429983rt669.68484,1,2,Perillyl alcohol,536-59-4,HMDB03634,C02452,M1550,(M+H-H2O)+,0.223575,0.99996,NA,NA,20,0.614645,0.7591381,metlinDatabase0.0.1
M135T794,135.1168337,794.4857788,mz135.11690868307rt793.26738,1,2,Perillyl alcohol,536-59-4,HMDB03634,C02452,M1550,(M+H-H2O)+,0.2717077,0.9999409,NA,NA,20,0.6381629,0.7738297,metlinDatabase0.0.1
M136T130,136.0481926,130.471817,mz136.048141479492rt95.992008,1,2,1-Hydroxybenzotriazole,2592-95-2,NA,NA,MONA_913,(M+H)+,6.050751,0.9711355,NA,NA,15 (nominal),0.5464633,0.7057154,monaDatabase0.0.1
M136T262,136.0394877,262.4463959,mz136.039181964768rt316.169352,1,2,3-Hydroxyanthranilic acid,548-93-6,HMDB01476,NA,L0312,(M+H-H2O)+,0.2700881,0.9999416,NA,NA,25,0.7216873,0.8260327,nistDatabase0.0.1
M137T483,137.0598341,483.4740295,mz137.059577621561rt423.57321,1,2,2-Hydroxyacetophenone,NA,NA,NA,MONA_14559,(M+H)+,0.3796861,0.9998847,NA,NA,HCD (NCE 20-30-40%),0.6037552,0.7523038,monaDatabase0.0.1
M137T289,137.0595345,289.1582642,mz137.05989074707rt282.85179,1,2,2-Hydroxyacetophenone,NA,NA,NA,MONA_14559,(M+H)+,0.4031277,0.99987,NA,NA,HCD (NCE 20-30-40%),0.6660817,0.7912523,monaDatabase0.0.1
M138T710,138.0550426,710.0646973,mz138.05479452754rt719.41596,1,2,3-Acetoxypyridine,17747-43-2,NA,NA,NO07604,(M+H)+,0.5136811,0.9997889,NA,NA,5,0.6351042,0.771861,orbitrapDatabase0.0.1
M139T635,139.1117546,635.4666748,mz139.111683297488rt623.97582,1,2,.gamma.-Nonalactone,104-61-0,NA,NA,NO00149,(M+H-H2O)+,0.04175628,0.9999986,NA,NA,10,0.4316391,0.6447739,orbitrapDatabase0.0.1
M139T737,139.1482198,737.3965454,mz139.148239135742rt738.537,1,2,cis-4-Decenol,57074-37-0,HMDB32206,NA,n00444,(M+H-H2O)+,0.3228394,0.9999166,NA,NA,20,0.6486669,0.7803855,nistDatabase0.0.1
M141T738,141.0183046,737.8728638,mz141.018064066887rt740.08218,1,2,L-Ascorbic acid,50-81-7,HMDB00044,C00072,M0263,(M+H-2H2O)+,0.3398328,0.9999076,NA,NA,20,0.6384611,0.7740035,metlinDatabase0.0.1
M143T581,143.106717,580.8178711,mz143.106456978121rt526.327542,1,2,.delta.-Octalactone,698-76-0,NA,NA,NO07689,(M+H)+,0.6075547,0.9997047,NA,NA,10,0.5508994,0.7192014,orbitrapDatabase0.0.1
M144T249,144.0656661,248.9030762,mz144.065460205078rt215.596998,1,2,DL-2-Aminoadipic acid,542-32-5,HMDB00510,NA,L0090,(M+H-H2O)+,0.1244873,0.9999876,NA,NA,25,0.6322915,0.7701775,nistDatabase0.0.1
M145T206,145.0496783,206.0075531,mz145.049399692096rt190.377156,1,2,"trans-2-Butene-1,4-dicarboxylic acid",4436-74-2,NA,NA,NO07704,(M+H)+,0.5007698,0.9997994,NA,NA,5,0.6464925,0.7789826,orbitrapDatabase0.0.1
M145T133,145.1336028,133.0897903,mz145.133635483823rt127.845696,1,2,N-Acetylcadaverine,32343-73-0,HMDB02284,NA,S0249,(M+H)+,0.1887096,0.9999715,NA,NA,25,0.7106034,0.8191164,nistDatabase0.0.1
M146T288,146.0635403,287.8117371,mz146.059935115838rt321.599682,1,2,Indole-6-carboxaldehyde,1196-70-9,NA,NA,NO07720,(M+H)+,0.4122104,0.9998641,NA,NA,10,0.7180099,0.8237052,orbitrapDatabase0.0.1
M146T469,146.0601626,468.6568756,mz146.060229850134rt456.768372,1,2,Oxyquinoline,148-24-3,NA,C19434,M0926,(M+H)+,0.3246253,0.9999157,NA,NA,20,0.724476,0.8277659,metlinDatabase0.0.1
M147T469,147.0764937,469.3208923,mz147.076273384816rt414.149496,1,2,Glutamine; CE10; ZDXPYRJPNDTMRX-VKHMYHEASA-N,NA,NA,NA,MONA_19187,(M+H)+,0.421988,0.9998576,NA,NA,10,0.7249444,0.8280369,monaDatabase0.0.1
M147T619,147.0805776,619.255,mz147.080627441406rt638.31768,1,2,L-Glutamine,56-85-9,HMDB00641,C00064,shen_1086_HMDB00641,(M+H)+,10.46311,0.9161443,NA,NA,Unknown_1,0.5185846,0.6676695,hmdbDatabase0.0.1
M148T997,148.0393624,997.0170593,mz148.039428710938rt1049.38602,1,2,Isatin,91-56-5,NA,NA,MassBank_14247,(M+H)+,0.2467773,0.9999513,NA,NA,20,0.7382435,0.8363839,massbankDatabase0.0.1
M148T458,148.0756939,458.3497467,mz148.075836181641rt488.747868,1,2,3-Methyloxyindole,NA,NA,NA,MONA_14613,(M+H)+,0.3056841,0.9999252,NA,NA,HCD (NCE 20-30-40%),0.6679957,0.7924693,monaDatabase0.0.1
M149T845,149.0234386,844.5652161,mz149.023122452513rt830.05578,1,2,Phthalic acid,NA,NA,NA,MONA_15186,(M+H-H2O)+,0.4655487,0.9998266,NA,NA,HCD (NCE 20-30-40%),0.7019033,0.8136245,monaDatabase0.0.1
M149T677,149.0599046,676.5726318,mz149.05989074707rt665.69808,1,2,trans-Cinnamic acid,140-10-3,HMDB00930,C00423,shen_1571_HMDB00930,(M+H)+,0.4031177,0.99987,NA,NA,Unknown_2,0.4538687,0.6586192,hmdbDatabase0.0.1
M149T772,149.0598124,771.9240112,mz149.059875488281rt768.54264,1,2,trans-Cinnamic acid,140-10-3,HMDB00930,C00423,shen_1571_HMDB00930,(M+H)+,0.3649707,0.9998934,NA,NA,Unknown_2,0.434056,0.646245,hmdbDatabase0.0.1
M149T476,149.0961703,475.8482971,mz149.096282958984rt511.545522,1,2,Cuminaldehyde,122-03-2,HMDB02214,C06577,NO07760,(M+H)+,0.4573975,0.9998326,NA,NA,5,0.584653,0.7403453,orbitrapDatabase0.0.1
M149T782,149.1326006,782.2092896,mz149.132268783366rt809.12796,1,2,gamma-Undecalactone,104-67-6,NA,NA,MassBank_14202,(M+H-2H2O)+,0.4030416,0.9998701,NA,NA,20,0.4102439,0.6313537,massbankDatabase0.0.1
M150T129,150.0551124,128.9627075,mz150.058349609375rt124.665318,1,2,L-Methionine,63-68-3,HMDB00696,NA,S0057,(M+H)+,0.000976563,1,NA,NA,25,0.7458495,0.8411559,nistDatabase0.0.1
M151T593,151.0754519,592.8914185,mz151.075542123592rt592.759182,1,2,4-Piperidinecarboxamide,39546-32-2,NA,NA,MONA_18221,(M+Na)+,21.8022,0.6836776,NA,NA,10,0.6503076,0.6628213,monaDatabase0.0.1
M151T505,151.075488,505.1624756,mz151.075546264648rt550.221798,1,2,Gabapentin Related Compound E,67950-95-2,NA,NA,MONA_1244,(M+H-2H2O)+,0.5933416,0.9997184,NA,NA,45 (nominal),0.4095599,0.6308693,monaDatabase0.0.1
M152T128,152.0541095,127.8011703,mz152.056883567876rt116.924958,1,2,Guanine,NA,NA,NA,MONA_14913,(M+H)+,0.4344697,0.999849,NA,NA,HCD (NCE 20-30-40%),0.632362,0.7701696,monaDatabase0.0.1
M152T291,152.056938,290.846405,mz152.058624267578rt286.168284,1,2,Guanine,73-40-5,NA,C00242,MassBank_16306,(M+H)+,4.785669,0.9818447,NA,NA,35,0.6520142,0.7757006,massbankDatabase0.0.1
M152T228,152.0570915,228.4385376,mz152.05729675293rt219.27375,1,2,Guanine,73-40-5,NA,C00242,MassBank_16306,(M+H)+,1.466882,0.9982801,NA,NA,35,0.548889,0.7174107,massbankDatabase0.0.1
