m/z=167.065482999	Pyridoxal
UGT2B28	5-alpha-Dihydrotestosterone glucuronide
UGT2B28	3-alpha,20-alpha-Dihydroxy-5-beta-pregNULLe 3-glucuronide
UGT2B28	2-Methoxy-estradiol-17b 3-glucuronide
UGT2B28	Estradiol-17alpha 3-D-glucuronoside
m/z=318.262671817	AllopregNULLolone
m/z=348.236894931	11b,21-Dihydroxy-5b-pregNULLe-3,20-dione
m/z=348.236894931	3a,21-Dihydroxy-5b-pregNULLe-11,20-dione
5b-Dihydrotestosterone	m/z=290.231335156
11b,21-Dihydroxy-5b-pregNULLe-3,20-dione	m/z=348.236872766
11b,21-Dihydroxy-5b-pregNULLe-3,20-dione	m/z=348.236838418
beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp-(1<->1)-Cer	ST3GAL2
beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp-(1<->1)-Cer	B3GNT3
5-Hydroxyindoleacetic acid	AOX1
5-Hydroxyindoleacetic acid	m/z=191.058304286
m/z=314.231541126	Progesterone
O-Phosphoethanolamine	ENPP6
O-Phosphoethanolamine	m/z=141.02157808
O-Phosphoethanolamine	PCYT2
O-Phosphoethanolamine	ETNK2
O-Phosphoethanolamine	ETNK1
3-Hydroxyhippuric acid	m/z=195.060323284
HNF1A	PCBD1
HNF1A	LDHA
ETNK1	Ethanolamine
ALDH3B1	SYNONYMS=KAP10.5,
ALDH3B1	Methylimidazoleacetic acid
NOS3	Asymmetric dimethylarginine
NOS3	Dihydrobiopterin
Estriol 3-sulfate 16-glucuronide	m/z=544.168825608
m/z=217.17502562	Deoxyhypusine
m/z=332.048821558	dIMP
LysoPE(0:0/18:2(9Z,12Z))	m/z=477.287660319
LysoPE(0:0/18:2(9Z,12Z))	ENPP2
LysoPE(0:0/18:2(9Z,12Z))	m/z=477.287496375
FPGS	7,8-Dihydropteroic acid
4-Trimethylammoniobutanoic acid	m/z=146.116746275
Estradiol-17alpha 3-D-glucuronoside	m/z=448.206159129
CRAT	PEX5
20a-Dihydroprogesterone	m/z=316.246931446
20a-Dihydroprogesterone	m/z=316.247082074
20a-Dihydroprogesterone	m/z=316.247044439
20a-Dihydroprogesterone	m/z=316.247194465
20a-Dihydroprogesterone	m/z=316.247050129
20a-Dihydroprogesterone	AKR1C1
N-Acetylmannosamine	m/z=221.097058552
N-Acetylmannosamine	NAGK
PNP	Deoxyinosine
PNP	Xanthine
16a-Hydroxyandrost-4-ene-3,17-dione	HSD3B2
CYP11B1	Cortisol
CYP11B1	Deoxycorticosterone
Pyridoxal	AOX1
m/z=310.147415392	N-Desmethylcitalopram
m/z=147.039298712	Indole-5,6-quinone
m/z=314.231466921	Progesterone
m/z=221.097058552	N-Acetylgalactosamine
LysoPC(0:0/18:0)	m/z=523.35759436
LysoPC(0:0/18:0)	PAFAH1B3
LysoPC(0:0/18:0)	PAFAH1B2
CYP3A7	N-Desmethyltamoxifen
m/z=314.231442393	Progesterone
B3GNT3	keratan sulfate I biosynthesis, precursor 24
B3GNT3	keratan sulfate I biosynthesis, precursor 1
B3GNT3	N-Acetylgalactosamine
B3GNT8	keratan sulfate I biosynthesis, precursor 24
B3GNT8	Poly-N-acetyllactosamine
B3GNT8	keratan sulfate I biosynthesis, precursor 1
2-Hydroxyestradiol	m/z=288.179646049
2-Hydroxyestradiol	CYP1B1
CAD	L-Dihydroorotic acid
UMPS	Phosphoribosyl pyrophosphate
m/z=332.241903434	3a,7a-Dihydroxy-5b-cholestanate
m/z=332.241903434	17-alpha,20-alpha-Dihydroxypregn-4-en-3-one
PCYT2	DNMT3B
Tetrahydrocorticosterone	HSD11B2
Tetrahydrocorticosterone	m/z=350.252582887
m/z=446.199967567	Estrone glucuronide
Ubiquinone-1	m/z=250.113456971
Ubiquinone-1	CYC1
Ubiquinone-1	NDUFS8
HSD17B2	Epitestosterone
HSD17B2	16b-Hydroxyestrone
HSD17B2	Estradiol
PAFAH1B3	LDHB
PAFAH1B2	LDHB
Cytidine monophosphate N-acetylneuraminic acid	ST3GAL2
Cytidine monophosphate N-acetylneuraminic acid	ST6GAL2
DL-Dopa	DDC
DL-Dopa	SLC16A10
DL-Dopa	TYR
DL-Dopa	TH
HSD3B2	17a-Hydroxypregnenolone
HSD3B2	17-Hydroxyprogesterone
HSD3B2	Progesterone
HSD3B2	17a,21-Dihydroxypreg-nenolone
HSD3B2	Dehydroandrosterone
m/z=314.231437319	Progesterone
TYR	Leucodopachrome
TYR	L-Dopa
TYR	Indole-5,6-quinone
TYR	Dihydrobiopterin
m/z=283.185290876	N-Dealkylated tolterodine
m/z=362.215943258	Cortisol
Xanthine	XDH
m/z=360.200963845	Cortisone
S-(PGA2)-glutathione	m/z=641.294069935
SYNONYMS=KAP10.5,	NAA10
m/z=158.028900543	L-Dihydroorotic acid
Dehydroisoandrosterone 3-glucuronide	m/z=464.247738173
Dehydroisoandrosterone 3-glucuronide	m/z=464.233201967
AKR1C1	AllopregNULLolone
AKR1C1	Progesterone
AKR1C1	Tetrahydrodeoxycorticosterone
DHPS	NUDT18
DHPS	Deoxyhypusine
oxypurinol	AOX1
oxypurinol	XDH
Chenodeoxyglycocholic acid	SLCO1B1
Chenodeoxyglycocholic acid	m/z=449.305522893
PHEX	Deoxyinosine
PHEX	dIMP
S-(9-deoxy-delta9,12-PGD2)-glutathione	m/z=641.294069935
MAOB	Tyramine
MAOB	N-Desmethylcitalopram
MAOB	xi-Norepinephrine
MAOB	3,4-Dihydroxymandelaldehyde
MAOB	5-Hydroxyindoleacetaldehyde
MAOB	Methylimidazoleacetic acid
MAOB	Homovanillin
MAOA	5-Hydroxyindoleacetaldehyde
MAOA	Homovanillin
MAOA	Tyramine
MAOA	3,4-Dihydroxymandelaldehyde
m/z=462.217750744	6-Dehydrotestosterone glucuronide
L-Octanoylcarnitine	m/z=287.203690856
Asymmetric dimethylarginine	m/z=202.139054538
L-Dopa	SLC3A2
ADHFE1	D-2-Hydroxyglutaric acid
ADHFE1	3,4-Dihydroxymandelaldehyde
m/z=449.305522893	Glycoursodeoxycholic acid
CYP1B1	Melatonin
CYP1B1	17-Hydroxyprogesterone
ETNK2	Ethanolamine
Homovanillin	m/z=166.070255748
m/z=350.252582887	MG(18:4(6Z,9Z,12Z,15Z)/0:0/0:0)
5-Methylcytosine	m/z=125.054912094
5-Methylcytosine	DNMT3B
MG(18:4(6Z,9Z,12Z,15Z)/0:0/0:0)	ENPP6
L-Tryptophan	DDC
L-Tryptophan	SLC16A10
L-Tryptophan	m/z=204.089880223
Amygdalin	GBA3
Amygdalin	m/z=457.16025161
Androsterone glucuronide	m/z=466.253221947
Nicotinamide ribotide	NT5C
Nicotinamide ribotide	m/z=334.060238701
Nicotinamide ribotide	NAMPT
m/z=584.268853743	4E,15Z-Bilirubin IXa
NUDT18	PCBD1
m/z=478.212453289	4-Hydroxyandrostenedione glucuronide
Deoxycorticosterone	CYP21A2
Deoxycorticosterone	m/z=330.226313475
m/z=314.104658105	7,8-Dihydropteroic acid
m/z=304.210567131	7a-Hydroxydehydroepiandrosterone
m/z=332.242112438	17-alpha,20-alpha-Dihydroxypregn-4-en-3-one
m/z=286.16390683	4-Hydroxyestrone
m/z=286.16390683	16b-Hydroxyestrone
m/z=286.163737463	4-Hydroxyestrone
m/z=286.163737463	16b-Hydroxyestrone
3-alpha,20-alpha-Dihydroxy-5-beta-pregNULLe 3-glucuronide	m/z=496.300917698
ST6GAL2	(N-acetylneuraminosyl(a2-6)lactosamine)
m/z=270.169211863	Estrone
PCBD1	LNX1
dIMP	NT5C
dIMP	ITPA
CYP17A1	Omeprazole
m/z=536.217532421	Aldosterone 18-glucuronide
Estrone	m/z=270.168935047
Ethanolamine	ENPP2
Dehydroandrosterone	m/z=288.215793368
L-2-Hydroxyglutaric acid	m/z=148.043268781
L-2-Hydroxyglutaric acid	m/z=148.04270109
m/z=158.028722644	L-Dihydroorotic acid
3-Mercaptopyruvic acid	LDHAL6B
3-Mercaptopyruvic acid	LDHAL6A
m/z=332.241919022	17-alpha,20-alpha-Dihydroxypregn-4-en-3-one
Ubiquinone-2	CYC1
L-Dihydroorotic acid	DHODH
CYP7B1	Omeprazole
CYP7B1	3 beta,7 alpha-Dihydroxy-5-cholestenoate
ENO1	ACHE
ENO1	ITPA
ENO1	3-Dehydroquinate
OTC	Citrulline
SLC16A7	2-Hydroxybutyric acid
TYMS	dUMP
ITPA	dUMP
ITPA	2-Deoxyinosine triphosphate
CYP2C19	N-Dealkylated tolterodine
CYP2C19	Melatonin
CYP2C19	3-Hydroxyhexobarbital
11-Dehydrocorticosterone	m/z=344.205751904
11-Dehydrocorticosterone	m/z=344.205386878
11-Dehydrocorticosterone	HSD11B2
11-Dehydrocorticosterone	HSD11B1
m/z=478.227241706	4-Hydroxyandrostenedione glucuronide
m/z=478.227241706	2-Methoxy-estradiol-17b 3-glucuronide
3a,21-Dihydroxy-5b-pregNULLe-11,20-dione	m/z=348.236838418
3a,21-Dihydroxy-5b-pregNULLe-11,20-dione	m/z=348.236872766
3a,21-Dihydroxy-5b-pregNULLe-11,20-dione	HSD11B2
m/z=148.04270109	D-2-Hydroxyglutaric acid
Cortisol	HSD11B2
CYP24A1	24-Hydroxycalcitriol
CYP24A1	Calcitriol
5-alpha-Dihydrotestosterone glucuronide	m/z=466.253221947
NME1	FDPS
NME1	2-Deoxyinosine triphosphate
DHODH	NDUFS8
DHODH	CYC1
Phenylacetylglycine	m/z=193.065977946
Farnesyl pyrophosphate	FDPS
Farnesyl pyrophosphate	m/z=382.13781292
Dihydrobiopterin	m/z=239.102006322
m/z=330.226313475	17-Hydroxyprogesterone
m/z=288.215793368	Epitestosterone
m/z=288.215793368	Etiocholanedione 
m/z=475.271616072	LysoPE(0:0/18:3(9Z,12Z,15Z))
NT5C	dUMP
NT5C	Deoxyinosine
NT5C	Thymidine 3,5-cyclic monophosphate
XDH	3,7-Dimethyluric acid
m/z=486.265170801	PA(20:4(5Z,8Z,11Z,14Z)e/2:0)
AllopregNULLolone	m/z=318.262750858
AllopregNULLolone	m/z=318.26271691
AllopregNULLolone	m/z=318.262618276
m/z=464.247738173	Dehydroepiandrosterone 3-glucuronide
m/z=316.247050129	5a-PregNULLe-3,20-dione
4E,15Z-Bilirubin IXa	SLCO1B1
4E,15Z-Bilirubin IXa	UGT1A8
MG(0:0/18:4(6Z,9Z,12Z,15Z)/0:0)	ENPP6
xi-Norepinephrine	MOXD1
Calcitriol	m/z=416.335731085
Calcitriol	VDR
NAMPT	Phosphoribosyl pyrophosphate
m/z=383.149390764	Poly-N-acetyllactosamine
N-[(3a,5b,7a,12a)-3,7-dihydroxy-24-oxo-12-(sulfooxy)cholan-24-yl]-Glycine	m/z=545.25789794
m/z=190.054867727	3-Dehydroquinate
m/z=519.32689133	LysoPC(18:2(9Z,12Z))
m/z=232.112989083	Melatonin
17a,21-Dihydroxypreg-nenolone	m/z=348.236838418
D-2-Hydroxyglutaric acid	m/z=148.043268781
5-Hydroxyindoleacetaldehyde	AOX1
7a,12a-Dihydroxy-cholestene-3-one	m/z=416.335731085
7a,12a-Dihydroxy-cholestene-3-one	AKR1D1
4-Fumarylacetoacetic acid	FAH
AGPAT4	PA(20:4(5Z,8Z,11Z,14Z)e/2:0)
AGPAT4	REL
Etiocholanedione 	AKR1D1
N-Desmethyltamoxifen	m/z=357.201146025
UGT1A8	Estrone glucuronide
UGT1A8	Epitestosterone
Salicyluric acid	m/z=195.060323284
PDE4D	GNB2L1
PDE4D	PA(20:4(5Z,8Z,11Z,14Z)e/2:0)
Tetrahydrodeoxycorticosterone	m/z=334.257511455
Dehydroepiandrosterone 3-glucuronide	m/z=464.233201967
LDHAL6B	NAGK
LDHAL6A	2-Hydroxybutyric acid
LysoPE(18:2(9Z,12Z)/0:0)	m/z=477.287660319
LysoPE(18:2(9Z,12Z)/0:0)	ENPP2
LysoPE(18:1(9Z)/0:0)	ENPP2
LysoPE(18:1(9Z)/0:0)	m/z=479.303332939
m/z=286.159656107	4-Hydroxyestrone
4-Hydroxyestrone	m/z=286.163862478
Thymidine 3,5-cyclic monophosphate	m/z=304.04330713
3-Methylthiopropionic acid	ADI1
3-Methylthiopropionic acid	m/z=120.028196037
m/z=231.15415052	Butyrylcarnitine
GNB2L1	ACHE
m/z=316.247044439	5a-PregNULLe-3,20-dione
ENPP2	LysoPE(0:0/18:3(9Z,12Z,15Z))
24-Hydroxycalcitriol	m/z=432.330699384
m/z=360.200575786	Cortisone
REL	NAGK
m/z=196.063644114	3,7-Dimethyluric acid
6-Dehydrotestosterone glucuronide	m/z=462.23211974
PEX5	LDHB
m/z=475.271746378	LysoPE(0:0/18:3(9Z,12Z,15Z))
Cortisone	HSD11B2
Cortisone	HSD11B1
m/z=432.330699384	3 beta,7 alpha-Dihydroxy-5-cholestenoate
m/z=314.231452202	Progesterone
LDHA	NAGK
Leucodopachrome	m/z=195.060323284
