name,mz,rt,MS2.spectrum.name,Candidate.number,Identification,Level
M93T135,93.02623566,135.2778015,mz93.026203814134rt137.422806,1,Compound.name:PHENOL;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_308;Adduct:(M-H)-;mz.error:20.91546;mz.match.score:0.7047125;RT.error:64.59837;RT.match.score:0.7729125;CE:NCE25;SS:0.7150707;Total.score:0.7269416;MS2.spectra.name:mz93.026203814134rt137.422806;Database:msDatabase_rplc0.0.1;Dataset.index:2,1
M87T674,87.00249598,673.9096375,mz87.002662658691rt687.03468,1,Compound.name:Pyruvate;CAS.ID:127-17-3;HMDB.ID:HMDB00243;KEGG.ID:NA;Lab.ID:L0002;Adduct:(M-H)-;mz.error:15.21835;mz.match.score:0.8308728;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4839218;Total.score:0.6140284;MS2.spectra.name:mz87.002662658691rt687.03468;Database:nistDatabase0.0.1;Dataset.index:11,2
M87T315,87.03902964,314.9779663,mz87.039016723633rt343.08291,1,Compound.name:Butanoic acid;CAS.ID:107-92-6;HMDB.ID:HMDB00039;KEGG.ID:NA;Lab.ID:S0375;Adduct:(M-H)-;mz.error:15.28319;mz.match.score:0.8295593;RT.error:NA;RT.match.score:NA;CE:10;SS:0.7334307;Total.score:0.7694789;MS2.spectra.name:mz87.039016723633rt343.08291;Database:nistDatabase0.0.1;Dataset.index:11,2
M88T122,88.03419882,121.7226181,mz88.034225463867rt175.404078,1,Compound.name:Beta-Alanine;CAS.ID:107-95-9;HMDB.ID:HMDB00056;KEGG.ID:NA;Lab.ID:L0320;Adduct:(M-H)-;mz.error:15.38634;mz.match.score:0.8274624;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7563585;Total.score:0.7830225;MS2.spectra.name:mz88.034225463867rt175.404078;Database:nistDatabase0.0.1;Dataset.index:11,2
M88T259,88.04226705,258.9947815,mz88.040306091309rt221.7669,1,Compound.name:L-Alanine;CAS.ID:56-41-7;HMDB.ID:HMDB00161;KEGG.ID:C00041;Lab.ID:M0016;Adduct:(M-H)-;mz.error:0.2347717;mz.match.score:0.9999559;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7125768;Total.score:0.820344;MS2.spectra.name:mz88.040306091309rt221.7669;Database:metlinDatabase0.0.1;Dataset.index:9,2
M89T119,89.01818199,119.2702255,mz89.018180847168rt117.988218,1,Compound.name:3-Hydroxypropionic acid (beta-lactic acid);CAS.ID:503-66-2;HMDB.ID:HMDB00700;KEGG.ID:NA;Lab.ID:L0205;Adduct:(M-H)-;mz.error:15.52288;mz.match.score:0.8246734;RT.error:NA;RT.match.score:NA;CE:10;SS:0.7440835;Total.score:0.7743047;MS2.spectra.name:mz89.018180847168rt117.988218;Database:nistDatabase0.0.1;Dataset.index:11,2
M93T330_2,93.02619008,329.5308533,mz93.026254527964rt295.285638,1,Compound.name:Phenol;CAS.ID:108-95-2;HMDB.ID:HMDB00228;KEGG.ID:NA;Lab.ID:S0142;Adduct:(M-H)-;mz.error:20.78868;mz.match.score:0.7076997;RT.error:NA;RT.match.score:NA;CE:25;SS:0.7315931;Total.score:0.7226331;MS2.spectra.name:mz93.026254527964rt295.285638;Database:nistDatabase0.0.1;Dataset.index:5,2
M93T472,93.02612048,472.2977905,mz93.026227949515rt488.550726,1,Compound.name:Phenol;CAS.ID:108-95-2;HMDB.ID:HMDB00228;KEGG.ID:NA;Lab.ID:S0142;Adduct:(M-H)-;mz.error:20.85513;mz.match.score:0.7061349;RT.error:NA;RT.match.score:NA;CE:25;SS:0.7529386;Total.score:0.7353872;MS2.spectra.name:mz93.026227949515rt488.550726;Database:nistDatabase0.0.1;Dataset.index:11,2
M94T138,94.02146709,137.8543243,mz94.021472054676rt150.120696,1,Compound.name:3-Hydroxypyridine;CAS.ID:109-00-2;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MassBank_17514;Adduct:(M-H)-;mz.error:20.84486;mz.match.score:0.7063767;RT.error:NA;RT.match.score:NA;CE:Ramp 5-60;SS:0.7990867;Total.score:0.7643205;MS2.spectra.name:mz94.021472054676rt150.120696;Database:massbankDatabase0.0.1;Dataset.index:2,2
M97T109,96.95986897,108.5559845,mz96.95970916748rt141.185334,1,Compound.name:Phosphoric acid;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15935;Adduct:(M-H)-;mz.error:24.7151;mz.match.score:0.6134425;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7334579;Total.score:0.6884521;MS2.spectra.name:mz96.95970916748rt141.185334;Database:monaDatabase0.0.1;Dataset.index:10,2
M100T361,100.0385522,361.4920502,mz100.038536520836rt366.14817,1,Compound.name:1-Aminocyclopropane-1-carboxylic acid;CAS.ID:22059-21-8;HMDB.ID:NA;KEGG.ID:C01234;Lab.ID:MassBank_17277;Adduct:(M-H)-;mz.error:4.608698;mz.match.score:0.9831515;RT.error:NA;RT.match.score:NA;CE:Ramp 5-60;SS:0.529151;Total.score:0.6994012;MS2.spectra.name:mz100.038536520836rt366.14817;Database:massbankDatabase0.0.1;Dataset.index:8,2
M101T370,101.0538655,370.4110107,mz101.05399766412rt354.953046,1,Compound.name:Isovaleric acid;CAS.ID:503-74-2;HMDB.ID:HMDB00718;KEGG.ID:NA;Lab.ID:S0206;Adduct:(M-H)-;mz.error:16.95584;mz.match.score:0.7945333;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4015991;Total.score:0.5489494;MS2.spectra.name:mz101.05399766412rt354.953046;Database:nistDatabase0.0.1;Dataset.index:11,2
M101T97,101.017538,96.60153961,mz101.01761568365rt141.688188,1,Compound.name:Succinic acid semialdehyde;CAS.ID:692-29-5;HMDB.ID:HMDB01259;KEGG.ID:C00232;Lab.ID:M0307;Adduct:(M-H)-;mz.error:16.96079;mz.match.score:0.7944266;RT.error:NA;RT.match.score:NA;CE:20;SS:0.6997983;Total.score:0.7352839;MS2.spectra.name:mz101.01761568365rt141.688188;Database:metlinDatabase0.0.1;Dataset.index:3,2
M102T146,102.049144,145.5291748,mz102.049156188965rt148.896186,1,Compound.name:4-Aminobutyric acid;CAS.ID:1956-12-2;HMDB.ID:HMDB00112;KEGG.ID:NA;Lab.ID:S0298;Adduct:(M-H)-;mz.error:17.18453;mz.match.score:0.7895861;RT.error:NA;RT.match.score:NA;CE:15;SS:0.6653646;Total.score:0.7119477;MS2.spectra.name:mz102.049156188965rt148.896186;Database:nistDatabase0.0.1;Dataset.index:11,2
M102T232,102.0491933,232.3598404,mz102.04914855957rt183.585072,1,Compound.name:DL-3-Aminoisobutyric acid;CAS.ID:144-90-1;HMDB.ID:NA;KEGG.ID:C05145;Lab.ID:MassBank_17562;Adduct:(M-H)-;mz.error:17.2036;mz.match.score:0.7891719;RT.error:NA;RT.match.score:NA;CE:Ramp 5-60;SS:0.7496287;Total.score:0.7644574;MS2.spectra.name:mz102.04914855957rt183.585072;Database:massbankDatabase0.0.1;Dataset.index:8,2
M107T428,107.0465526,428.0903625,mz107.04661533098rt395.833062,1,Compound.name:p-Cresol;CAS.ID:106-44-5;HMDB.ID:HMDB01858;KEGG.ID:C01468;Lab.ID:M0772;Adduct:(M-H)-;mz.error:8.961673;mz.match.score:0.9377712;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7289853;Total.score:0.80728;MS2.spectra.name:mz107.04661533098rt395.833062;Database:metlinDatabase0.0.1;Dataset.index:3,2
M107T597,107.0466062,597.0555725,mz107.04660453475rt546.568752,1,Compound.name:p-Cresol;CAS.ID:106-44-5;HMDB.ID:HMDB01858;KEGG.ID:C01468;Lab.ID:M0772;Adduct:(M-H)-;mz.error:8.988663;mz.match.score:0.9374078;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7334686;Total.score:0.8099458;MS2.spectra.name:mz107.04660453475rt546.568752;Database:metlinDatabase0.0.1;Dataset.index:3,2
M108T343,108.041793,342.6779938,mz108.041832579893rt326.645532,1,Compound.name:4-Aminophenol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15477;Adduct:(M-H)-;mz.error:9.07816;mz.match.score:0.936196;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.4636008;Total.score:0.640824;MS2.spectra.name:mz108.041832579893rt326.645532;Database:monaDatabase0.0.1;Dataset.index:4,2
M109T318,109.0292911,318.2790833,mz109.029463631114rt331.05621,1,Compound.name:Pyrocatechol;CAS.ID:120-80-9;HMDB.ID:HMDB00957;KEGG.ID:NA;Lab.ID:S0325;Adduct:(M-H)-;mz.error:0.04092221;mz.match.score:0.9999987;RT.error:NA;RT.match.score:NA;CE:10;SS:0.7319234;Total.score:0.8324516;MS2.spectra.name:mz109.029463631114rt331.05621;Database:nistDatabase0.0.1;Dataset.index:11,2
M111T118,111.0198363,118.0799789,mz111.019882202148rt118.38555,1,Compound.name:Uracil;CAS.ID:66-22-8;HMDB.ID:HMDB00300;KEGG.ID:C00106;Lab.ID:shen_756_HMDB00300;Adduct:(M-H)-;mz.error:0.2379496;mz.match.score:0.9999547;RT.error:NA;RT.match.score:NA;CE:Unknown_1;SS:0.6989001;Total.score:0.8117956;MS2.spectra.name:mz111.019882202148rt118.38555;Database:hmdbDatabase0.0.1;Dataset.index:1,2
M113T435,113.0605652,434.6249084,mz113.060661315918rt403.823058,1,Compound.name:3-Methyl-4-pentenoic acid;CAS.ID:1879-03-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07313;Adduct:(M-H)-;mz.error:0.3467102;mz.match.score:0.9999038;RT.error:NA;RT.match.score:NA;CE:10;SS:0.4194427;Total.score:0.6371156;MS2.spectra.name:mz113.060661315918rt403.823058;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M113T367,113.0606029,367.0028076,mz113.060623551276rt374.160174,1,Compound.name:3-Methyl-4-pentenoic acid;CAS.ID:1879-03-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07313;Adduct:(M-H)-;mz.error:0.4411218;mz.match.score:0.9998443;RT.error:NA;RT.match.score:NA;CE:10;SS:0.5772331;Total.score:0.7357123;MS2.spectra.name:mz113.060623551276rt374.160174;Database:orbitrapDatabase0.0.1;Dataset.index:12,2
M115T119,115.0034062,119.4120026,mz115.003456115723rt121.669806,1,Compound.name:Maleic acid;CAS.ID:110-16-7;HMDB.ID:HMDB00176;KEGG.ID:C01384;Lab.ID:M0762;Adduct:(M-H)-;mz.error:0.6097107;mz.match.score:0.9997026;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7147074;Total.score:0.8215806;MS2.spectra.name:mz115.003456115723rt121.669806;Database:metlinDatabase0.0.1;Dataset.index:3,2
M115T238,115.0397939,238.0774536,mz115.039910335313rt264.704718,1,Compound.name:3-Oxopentanoic acid;CAS.ID:10191-25-0;HMDB.ID:HMDB03771;KEGG.ID:NA;Lab.ID:NO07347;Adduct:(M-H)-;mz.error:0.2241617;mz.match.score:0.9999598;RT.error:NA;RT.match.score:NA;CE:10;SS:0.7039203;Total.score:0.8149351;MS2.spectra.name:mz115.039910335313rt264.704718;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M115T462,115.0761745,462.0965424,mz115.076255831485rt436.919454,1,Compound.name:tert-Butyric acid;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_16016;Adduct:(M-H)-;mz.error:0.4344813;mz.match.score:0.999849;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7257412;Total.score:0.8285316;MS2.spectra.name:mz115.076255831485rt436.919454;Database:monaDatabase0.0.1;Dataset.index:4,2
M116T111,116.0351165,111.3388367,mz116.035208562707rt115.677072,1,Compound.name:N-Acetylglycine;CAS.ID:543-24-8;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07357;Adduct:(M-H)-;mz.error:0.2285932;mz.match.score:0.9999582;RT.error:NA;RT.match.score:NA;CE:15;SS:0.678293;Total.score:0.7989175;MS2.spectra.name:mz116.035208562707rt115.677072;Database:orbitrapDatabase0.0.1;Dataset.index:12,2
M116T320,116.0504081,320.0511169,mz116.050384521484rt333.010032,1,Compound.name:Indole;CAS.ID:120-72-9;HMDB.ID:HMDB00738;KEGG.ID:NA;Lab.ID:S0044;Adduct:(M-H)-;mz.error:0.4136963;mz.match.score:0.9998631;RT.error:NA;RT.match.score:NA;CE:25;SS:0.6019955;Total.score:0.7511958;MS2.spectra.name:mz116.050384521484rt333.010032;Database:nistDatabase0.0.1;Dataset.index:5,2
M117T331,117.0554479,330.8831177,mz117.055603027344rt320.439306,1,Compound.name:2-Methyl-3-hydroxybutyric acid;CAS.ID:473-86-9;HMDB.ID:HMDB00354;KEGG.ID:NA;Lab.ID:L0197;Adduct:(M-H)-;mz.error:0.2424316;mz.match.score:0.999953;RT.error:NA;RT.match.score:NA;CE:20;SS:0.726385;Total.score:0.828973;MS2.spectra.name:mz117.055603027344rt320.439306;Database:nistDatabase0.0.1;Dataset.index:5,2
M119T373,119.0500295,372.7101746,mz119.050010681152rt358.133418,1,Compound.name:4-Vinylphenol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15501;Adduct:(M-H)-;mz.error:0.5104871;mz.match.score:0.9997915;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7361657;Total.score:0.8350254;MS2.spectra.name:mz119.050010681152rt358.133418;Database:monaDatabase0.0.1;Dataset.index:10,2
M119T504,119.0499653,503.6124115,mz119.049974555504rt481.785222,1,Compound.name:4-Vinylphenol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15501;Adduct:(M-H)-;mz.error:0.6008012;mz.match.score:0.9997113;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.6439893;Total.score:0.777385;MS2.spectra.name:mz119.049974555504rt481.785222;Database:monaDatabase0.0.1;Dataset.index:10,2
M121T357_2,121.0293726,357.2286682,mz121.02932187963rt355.923546,1,Compound.name:3-Hydroxybenzaldehyde;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15451;Adduct:(M-H)-;mz.error:0.3938809;mz.match.score:0.9998759;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7765194;Total.score:0.8602781;MS2.spectra.name:mz121.02932187963rt355.923546;Database:monaDatabase0.0.1;Dataset.index:4,2
M122T551,122.032553,551.4344177,mz122.032718445786rt517.496718,1,Compound.name:Picolinic acid;CAS.ID:98-98-6;HMDB.ID:HMDB02243;KEGG.ID:C10164;Lab.ID:NO07409;Adduct:(M-H)-;mz.error:20.04611;mz.match.score:0.725077;RT.error:NA;RT.match.score:NA;CE:5;SS:0.6371645;Total.score:0.6701317;MS2.spectra.name:mz122.032718445786rt517.496718;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M123T336,123.044836,335.5919495,mz123.045029983272rt328.341744,1,Compound.name:3-(Hydroxymethyl)phenol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15442;Adduct:(M-H)-;mz.error:0.2487818;mz.match.score:0.9999505;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7587155;Total.score:0.8491786;MS2.spectra.name:mz123.045029983272rt328.341744;Database:monaDatabase0.0.1;Dataset.index:10,2
M123T415,123.0448924,415.2945404,mz123.045021057129rt400.9248,1,Compound.name:4-Methylcatechol;CAS.ID:452-86-8;HMDB.ID:HMDB00873;KEGG.ID:C06730;Lab.ID:NO07419;Adduct:(M-H)-;mz.error:0.1973572;mz.match.score:0.9999688;RT.error:NA;RT.match.score:NA;CE:15;SS:0.7134737;Total.score:0.8209094;MS2.spectra.name:mz123.045021057129rt400.9248;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
M125T368,125.0242678,367.8025513,mz125.024215944734rt369.190788,1,Compound.name:4-Hydroxy-6-methyl-2-pyrone;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15481;Adduct:(M-H)-;mz.error:0.4452682;mz.match.score:0.9998414;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7275117;Total.score:0.8296353;MS2.spectra.name:mz125.024215944734rt369.190788;Database:monaDatabase0.0.1;Dataset.index:10,2
M125T213,125.0353458,213.4575195,mz125.03547668457rt201.236184,1,Compound.name:Thymine;CAS.ID:65-71-4;HMDB.ID:HMDB00262;KEGG.ID:C00178;Lab.ID:shen_676_HMDB00262;Adduct:(M-H)-;mz.error:0.3769036;mz.match.score:0.9998864;RT.error:NA;RT.match.score:NA;CE:Unknown_2;SS:0.6922617;Total.score:0.807621;MS2.spectra.name:mz125.03547668457rt201.236184;Database:hmdbDatabase0.0.1;Dataset.index:1,2
M125T291,125.0355119,291.3742828,mz125.035446166992rt293.62863,1,Compound.name:Thymine;CAS.ID:65-71-4;HMDB.ID:HMDB00262;KEGG.ID:C00178;Lab.ID:shen_676_HMDB00262;Adduct:(M-H)-;mz.error:0.4531975;mz.match.score:0.9998357;RT.error:NA;RT.match.score:NA;CE:Unknown_2;SS:0.5867167;Total.score:0.7416363;MS2.spectra.name:mz125.035446166992rt293.62863;Database:hmdbDatabase0.0.1;Dataset.index:1,2
M127T286,127.0397647,286.0844879,mz127.039848327637rt275.3655,1,"Compound.name:Dihydro-4,4-dimethyl-2,3-furandione;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15644;Adduct:(M-H)-;mz.error:0.4894709;mz.match.score:0.9998084;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.5795624;Total.score:0.7371547;MS2.spectra.name:mz127.039848327637rt275.3655;Database:monaDatabase0.0.1;Dataset.index:4",2
M128T123,128.0351398,122.6046982,mz128.03514405627rt133.034682,1,Compound.name:L-Pyroglutamic acid;CAS.ID:98-79-3;HMDB.ID:HMDB00267;KEGG.ID:NA;Lab.ID:S0010;Adduct:(M-H)-;mz.error:0.3648593;mz.match.score:0.9998935;RT.error:NA;RT.match.score:NA;CE:25;SS:0.733525;Total.score:0.8334132;MS2.spectra.name:mz128.03514405627rt133.034682;Database:nistDatabase0.0.1;Dataset.index:11,2
M129T368,129.055497,367.5937195,mz129.055641806944rt402.15033,1,Compound.name:4-Oxohexanoic acid;CAS.ID:1117-74-4;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:NO07491;Adduct:(M-H)-;mz.error:0.1454826;mz.match.score:0.9999831;RT.error:NA;RT.match.score:NA;CE:20;SS:0.4839363;Total.score:0.6774539;MS2.spectra.name:mz129.055641806944rt402.15033;Database:orbitrapDatabase0.0.1;Dataset.index:6,2
